genus	contamination_risk_category	primary_coefficient	primary_p_value	primary_q_value	no_high_risk_coefficient	no_high_risk_p_value	no_high_moderate_risk_coefficient	no_high_moderate_risk_p_value	total_abundance_proxy_spearman_rho	total_abundance_proxy_spearman_p	strong_total_proxy_correlation	logo_compositional_check	flagged_environmental_genus	confirmed_contamination_language_used
Nocardioides	LOW_CURRENT_CONCERN	0.6261896432712264	0.00015563710534905966	0.001898772685258528	0.624733034502517	0.00016424632656722614	0.6214181074647932	0.000167562307370145	0.6284656644254741	4.528404044177768e-08	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Novosphingobium	MODERATE_RISK_ENVIRONMENTAL	-0.2578184043828158	8.507593789762599e-06	0.0002775798995691816	-0.259275013151393	1.1135118181647434e-05			-0.691873788119161	4.748941375403565e-10	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	True	False
Ochrobactrum	LOW_CURRENT_CONCERN	0.8384922431539966	0.009254333902994759	0.038932025385012434	0.8370356343859149	0.009057647545637204	0.8337207073481766	0.009208210322811494	0.1570597567424643	0.22280437946432013	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Pandoraea	LOW_CURRENT_CONCERN	0.43284159342366824	9.100980313743658e-06	0.0002775798995691816	0.4313849846552715	1.0049185548770074e-05	0.4280700576177046	1.1433738949533928e-05	0.6561154340107276	7.085019616997894e-09	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Ramlibacter	LOW_CURRENT_CONCERN	-0.3627736806258947	0.0004659431560686687	0.004060361788598399	-0.36423028939467317	0.00047449684647186437	-0.367545216432132	0.0004816585665205212	-0.7158973584145452	6.148495262584342e-11	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Rhizobium	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	-0.30545036574510426	0.0024267099647185706	0.013457209804348436	-0.30690697451358756	0.0024832082644472993	-0.3102219015508656	0.002614159328094509	-0.4588904837450581	0.00017593997097664762	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Rhizorhabdus	LOW_CURRENT_CONCERN	-0.27709784681810745	0.0021573654461332302	0.012533265925154956	-0.2785544555865713	0.0023552940708142845	-0.2818693826241744	0.002417496365420028	-0.6060033743798947	1.796380820941059e-07	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Roseolovirus	LOW_CURRENT_CONCERN	-0.9369978304560188	4.070993900807693e-05	0.0008277687598308975	-0.9384544392243994	4.3116636531429886e-05	-0.9417693662622392	4.2738974449647495e-05	-0.6358691546422905	2.8059663417054843e-08	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Rubrivivax	LOW_CURRENT_CONCERN	0.4345985498744985	0.0007748682129468297	0.005560818939971367	0.43314194110605747	0.0007684172955737205	0.4298270140681473	0.0007756874066068973	0.3065901135705472	0.015365668301356184	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Sphingobium	LOW_CURRENT_CONCERN	-0.4028104653169503	5.720657062697712e-07	6.979201616491209e-05	-0.4042670740856888	8.652301853796671e-07	-0.4075820011231878	1.0642204172200153e-06	-0.6640729268968296	4.007570118734318e-09	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Sphingomonas	BIOLOGICALLY_PLAUSIBLE_BUT_CONTAMINATION_SENSITIVE	-0.19589068213325042	0.0018770076170266056	0.011449746463862294	-0.19734729090236863	0.0022900580140672094	-0.2006622179400663	0.002476703679930071	-0.549041827201531	3.823448374503124e-06	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Sphingopyxis	MODERATE_RISK_ENVIRONMENTAL	-0.16906082072979833	0.0015012255074618864	0.009639447995281587	-0.17051742949795934	0.0018256413451675712			-0.5648057213366574	1.736151745908629e-06	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	True	False
Staphylococcus	LOW_CURRENT_CONCERN	-0.4506854397751492	0.007711950721089734	0.03484659214714621	-0.4521420485433174	0.007772465387195793	-0.45545697558170023	0.007294525237271236	-0.20535871672836242	0.109331320117709	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Streptomyces	LOW_CURRENT_CONCERN	0.44211822881586155	5.78082666158359e-05	0.0010075155038759972	0.4406616200471945	6.213410490401957e-05	0.43734669300964846	6.332022024318508e-05	0.42499559316058527	0.0005750680906981774	False	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
Variovorax	LOW_CURRENT_CONCERN	-0.31170278759161174	0.0005373931522408709	0.00437079763822575	-0.31315939636029594	0.0005762394861763828	-0.31647432339824233	0.0005896044971074284	-0.6359698824003425	2.7875086819164267e-08	True	genus_removed_no_self_CLR; recomputed remaining CLR matrix	False	False
