genus	analysis_role	normalization	transform	status	coefficient	p_value	q_value	notes
Deinococcus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Hydrogenophaga	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Porphyrobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Aromatoleum	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Microbacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Mitsuaria	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Pandoraea	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Rhodococcus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Streptococcus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Rhizorhabdus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Citromicrobium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Massilia	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Candida	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Ramlibacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Caulobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Bacteroides	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Enterococcus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Laribacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Variovorax	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Pseudomonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Methylobacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Elizabethkingia	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Tessaracoccus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Agrobacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Azospirillum	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Clostridium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Ensifer	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Roseomonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Croceicoccus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Rhodobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Micrococcus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Bradyrhizobium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Aquabacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Prevotella	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Sulfuritalea	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Escherichia	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Moraxella	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Shinella	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Cutibacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Chryseobacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Aminobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Sphingopyxis	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Thiomonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Flavobacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Verminephrobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Citrobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Sphingobium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Methylorubrum	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Ralstonia	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Erythrobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Xanthobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Paucibacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Streptomyces	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Collimonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Bacillus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Polaromonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Ochrobactrum	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Fusarium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Serratia	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Candidatus Accumulibacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Methylibium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Novosphingobium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Pseudoxanthomonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Burkholderia	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Rhizobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Sphingomonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Diaphorobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Fusobacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Sphingobacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Alicycliphilus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Devosia	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Ottowia	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Thauera	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Phreatobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Dickeya	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Rhizobium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Sinorhizobium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Stenotrophomonas	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Corynebacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Leptothrix	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Altererythrobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Roseolovirus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Janibacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Lactobacillus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Acinetobacter	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Janthinobacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Paracoccus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Delftia	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Sphingorhabdus	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Klebsiella	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Brachybacterium	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Herbaspirillum	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
Melaminivora	supporting	NONE	NONE	NOT_RUN_PACKAGE_UNAVAILABLE				MaAsLin2/Maaslin2 R package was not installed locally; no alternate normalization or transform was substituted.
