taxon	total_abundance	mean_abundance	median_abundance	max_abundance	prevalence_count	prevalence_fraction	zero_fraction	contamination_risk_status	flag_basis	action
Bradyrhizobium	40682.916347332015	656.1760701182583	257.02244648096496	4506.25050914197	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common reagent/environmental genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Sphingopyxis	482542.2186103126	7782.939009843752	6627.69614294195	15129.9804373106	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	environmental/water-associated genus raised in peer review	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Ralstonia	36846.34804911494	594.2959362760474	81.92999182976665	11326.841056783	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common reagent/water-associated genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Novosphingobium	8402.182867844662	135.51907851362358	124.350477057414	308.369340511443	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common environmental/reagent-associated genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Burkholderia	3338.1658130091455	53.84138408079267	47.8136468892205	153.163621830293	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common reagent/environmental genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Sphingomonas	117375.3392710639	1893.1506334042565	1585.6466330006851	6549.68992282044	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common reagent/environmental genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Rhizobium	28113.829010142275	453.44885500229475	383.03299295612646	1323.83468560425	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common reagent/environmental genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Stenotrophomonas	8268.751974711504	133.3669673340565	94.74934962987501	962.500108748771	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common environmental/reagent-associated genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Acinetobacter	537798.9517685235	8674.176641427799	6929.339372691995	21139.4435917223	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common reagent/environmental genus; also reported by source study	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Delftia	987564.2839918566	15928.456193417042	613.3646047405659	526366.666170989	62	1.0	0.0	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common water/reagent-associated genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
Herbaspirillum	545.5880517159192	8.799807285740632	0.0	113.70826971818	27	0.43548387096774194	0.5645161290322581	POTENTIAL_CONTAMINANT_RISK_NOT_CONFIRMED	common reagent/environmental genus	Retain in Phase 6A; compare Phase 6B sensitivity under prevalence/abundance filters; do not delete without negative-control evidence.
