dataset_id	feature_layer	feature_name	bulk_evidence_category	single_cell_coverage	eligibility	eligible_patients	primary_cell_source	malignant_cell_association	composition_sensitivity	negative_control_support	final_category	classification_reason
"PENG_CRA001160"	"TF_regulon"	"KLF13"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	0.967741935483871	"ELIGIBLE"	35	"nonmalignant_epithelial"	"NOT_SUPPORTED_AT_Q0.10"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"NOT_SUPPORTED_AT_CELLULAR_LEVEL"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"KLF9"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	0.970588235294118	"ELIGIBLE"	35	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	"myeloid_fraction;lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"MBD1"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.977272727272727	"ELIGIBLE"	35	"fibroblast_caf"	"NOT_SUPPORTED_AT_Q0.10"	"lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"MBD2"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.875	"ELIGIBLE"	35	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"STROMAL_OR_IMMUNE_SOURCE_SUPPORTED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"WGCNA_module"	"MEblack"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.251851851851852	"INELIGIBLE"	0	NA	"NOT_SUPPORTED_AT_Q0.10"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NOT_APPLICABLE_INELIGIBLE_FEATURE"	"INSUFFICIENT_SINGLE_CELL_DATA"	"Coverage 0.2519 is below locked 0.80 threshold; excluded from formal scoring/inference."
"PENG_CRA001160"	"WGCNA_module"	"MEblue"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.344175044352454	"INELIGIBLE"	0	NA	"NOT_SUPPORTED_AT_Q0.10"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NOT_APPLICABLE_INELIGIBLE_FEATURE"	"INSUFFICIENT_SINGLE_CELL_DATA"	"Coverage 0.3442 is below locked 0.80 threshold; excluded from formal scoring/inference."
"PENG_CRA001160"	"WGCNA_module"	"MEgreen"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.386407766990291	"INELIGIBLE"	0	NA	"NOT_SUPPORTED_AT_Q0.10"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NOT_APPLICABLE_INELIGIBLE_FEATURE"	"INSUFFICIENT_SINGLE_CELL_DATA"	"Coverage 0.3864 is below locked 0.80 threshold; excluded from formal scoring/inference."
"PENG_CRA001160"	"WGCNA_module"	"MEgreenyellow"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.319277108433735	"INELIGIBLE"	0	NA	"NOT_SUPPORTED_AT_Q0.10"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NOT_APPLICABLE_INELIGIBLE_FEATURE"	"INSUFFICIENT_SINGLE_CELL_DATA"	"Coverage 0.3193 is below locked 0.80 threshold; excluded from formal scoring/inference."
"PENG_CRA001160"	"WGCNA_module"	"MEtan"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.485436893203884	"INELIGIBLE"	0	NA	"NOT_SUPPORTED_AT_Q0.10"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NOT_APPLICABLE_INELIGIBLE_FEATURE"	"INSUFFICIENT_SINGLE_CELL_DATA"	"Coverage 0.4854 is below locked 0.80 threshold; excluded from formal scoring/inference."
"PENG_CRA001160"	"TF_regulon"	"MNT"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	0.964285714285714	"ELIGIBLE"	35	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	"malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"MXI1"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	0.922077922077922	"ELIGIBLE"	35	"T_cell"	"NOT_SUPPORTED_AT_Q0.10"	"lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"OTX2"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.958333333333333	"ELIGIBLE"	35	"fibroblast_caf"	"NOT_SUPPORTED_AT_Q0.10"	"endothelial_fraction;malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"SIX5"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.96	"ELIGIBLE"	35	"nonmalignant_epithelial"	"NOT_SUPPORTED_AT_Q0.10"	"endothelial_fraction;malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"SNAI2"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	0.939393939393939	"ELIGIBLE"	35	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	"malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"SNAPC4"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	1	"ELIGIBLE"	35	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	"lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"TFAP4"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	0.975	"ELIGIBLE"	35	"malignant_epithelial"	"NOT_SUPPORTED_AT_Q0.10"	"myeloid_fraction;lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"TP63"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	1	"ELIGIBLE"	35	"malignant_epithelial"	"NOT_SUPPORTED_AT_Q0.10"	"malignant_epithelial_fraction;myeloid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"ZBED1"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	1	"ELIGIBLE"	35	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	"endothelial_fraction;malignant_epithelial_fraction;lymphoid_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"ZBTB7A"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	0.955555555555556	"ELIGIBLE"	35	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"STROMAL_OR_IMMUNE_SOURCE_SUPPORTED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"ZNF24"	"EXTERNALLY_REPLICATED_HOST_FEATURE"	1	"ELIGIBLE"	35	"B_cell"	"NOT_SUPPORTED_AT_Q0.10"	"endothelial_fraction;malignant_epithelial_fraction"	"NEGATIVE_CONTROL_SENSITIVE"	"CELL_COMPOSITION_EXPLAINED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"ZNF384"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.954545454545455	"ELIGIBLE"	35	"endothelial"	"NOT_SUPPORTED_AT_Q0.10"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"STROMAL_OR_IMMUNE_SOURCE_SUPPORTED"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
"PENG_CRA001160"	"TF_regulon"	"ZNF740"	"PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE"	0.947368421052632	"ELIGIBLE"	35	"malignant_epithelial"	"NOT_SUPPORTED_AT_Q0.10"	"NOT_COMPOSITION_EXPLAINED_AT_Q0.10"	"NEGATIVE_CONTROL_SENSITIVE"	"PARTIAL_CELLULAR_SUPPORT"	"Rule-based classification from regulon/pathway activity, patient pseudobulk source model, malignant-axis model, composition sensitivity, and executed negative controls."
