feature_name	bulk_evidence_category	coverage_fraction	coverage_eligibility	primary_cell_source	malignant_cell_support	cell_composition_result	reported_category	reviewed_category	classification_discrepancy	discrepancy_reason	independent_review_status	notes
KLF13	EXTERNALLY_REPLICATED_HOST_FEATURE	0.967741935483871	ELIGIBLE	nonmalignant_epithelial	NOT_SUPPORTED_OR_UNDERPOWERED		PARTIAL_CELLULAR_SUPPORT	PARTIAL_CELLULAR_SUPPORT	False		PASS	Feature satisfied coverage rules and was correctly classified.
KLF9	EXTERNALLY_REPLICATED_HOST_FEATURE	0.970588235294118	ELIGIBLE	endothelial	NOT_SUPPORTED_OR_UNDERPOWERED	myeloid_fraction;lymphoid_fraction	CELL_COMPOSITION_EXPLAINED	CELL_COMPOSITION_EXPLAINED	False		PASS	Feature satisfied coverage rules and was correctly classified.
MNT	EXTERNALLY_REPLICATED_HOST_FEATURE	0.964285714285714	ELIGIBLE	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED	malignant_epithelial_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	False		PASS	Feature satisfied coverage rules and was correctly classified.
MXI1	EXTERNALLY_REPLICATED_HOST_FEATURE	0.922077922077922	ELIGIBLE	T_cell	NOT_SUPPORTED_OR_UNDERPOWERED	lymphoid_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	False		PASS	Feature satisfied coverage rules and was correctly classified.
SNAI2	EXTERNALLY_REPLICATED_HOST_FEATURE	0.939393939393939	ELIGIBLE	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED	malignant_epithelial_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	False		PASS	Feature satisfied coverage rules and was correctly classified.
TFAP4	EXTERNALLY_REPLICATED_HOST_FEATURE	0.975	ELIGIBLE	malignant_epithelial	NOT_SUPPORTED_OR_UNDERPOWERED	myeloid_fraction;lymphoid_fraction	CELL_COMPOSITION_EXPLAINED	CELL_COMPOSITION_EXPLAINED	False		PASS	Feature satisfied coverage rules and was correctly classified.
TP63	EXTERNALLY_REPLICATED_HOST_FEATURE	1.0	ELIGIBLE	malignant_epithelial	NOT_SUPPORTED_OR_UNDERPOWERED	malignant_epithelial_fraction;myeloid_fraction	CELL_COMPOSITION_EXPLAINED	CELL_COMPOSITION_EXPLAINED	False		PASS	Feature satisfied coverage rules and was correctly classified.
ZBTB7A	EXTERNALLY_REPLICATED_HOST_FEATURE	0.955555555555556	ELIGIBLE	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED		STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	False		PASS	Feature satisfied coverage rules and was correctly classified.
ZNF24	EXTERNALLY_REPLICATED_HOST_FEATURE	1.0	ELIGIBLE	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED	endothelial_fraction;malignant_epithelial_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	False		PASS	Feature satisfied coverage rules and was correctly classified.
BHLHE40	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.96551724137931	ELIGIBLE	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED	endothelial_fraction;fibroblast_caf_fraction;malignant_epithelial_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	False		PASS	Feature satisfied coverage rules and was correctly classified.
E2F6	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.971014492753623	ELIGIBLE	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED	malignant_epithelial_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	False		PASS	Feature satisfied coverage rules and was correctly classified.
ELF1	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.941176470588235	ELIGIBLE	endothelial	NOT_SUPPORTED_OR_UNDERPOWERED		PARTIAL_CELLULAR_SUPPORT	PARTIAL_CELLULAR_SUPPORT	False		PASS	Feature satisfied coverage rules and was correctly classified.
GRHL2	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.936708860759494	ELIGIBLE	malignant_epithelial	NOT_SUPPORTED_OR_UNDERPOWERED	malignant_epithelial_fraction	CELL_COMPOSITION_EXPLAINED	CELL_COMPOSITION_EXPLAINED	False		PASS	Feature satisfied coverage rules and was correctly classified.
KLF1	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.901960784313725	ELIGIBLE	endothelial	NOT_SUPPORTED_OR_UNDERPOWERED	fibroblast_caf_fraction	CELL_COMPOSITION_EXPLAINED	CELL_COMPOSITION_EXPLAINED	False		PASS	Feature satisfied coverage rules and was correctly classified.
MBD1	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.977272727272727	ELIGIBLE	fibroblast_caf	NOT_SUPPORTED_OR_UNDERPOWERED	lymphoid_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	False		PASS	Feature satisfied coverage rules and was correctly classified.
MBD2	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.875	ELIGIBLE	endothelial	NOT_SUPPORTED_OR_UNDERPOWERED		PARTIAL_CELLULAR_SUPPORT	PARTIAL_CELLULAR_SUPPORT	False		PASS	Feature satisfied coverage rules and was correctly classified.
OTX2	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.958333333333333	ELIGIBLE	fibroblast_caf	NOT_SUPPORTED_OR_UNDERPOWERED	endothelial_fraction;malignant_epithelial_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	False		PASS	Feature satisfied coverage rules and was correctly classified.
SIX5	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.96	ELIGIBLE	nonmalignant_epithelial	NOT_SUPPORTED_OR_UNDERPOWERED	endothelial_fraction;malignant_epithelial_fraction	CELL_COMPOSITION_EXPLAINED	CELL_COMPOSITION_EXPLAINED	False		PASS	Feature satisfied coverage rules and was correctly classified.
SNAPC4	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	1.0	ELIGIBLE	endothelial	NOT_SUPPORTED_OR_UNDERPOWERED	lymphoid_fraction	CELL_COMPOSITION_EXPLAINED	CELL_COMPOSITION_EXPLAINED	False		PASS	Feature satisfied coverage rules and was correctly classified.
ZBED1	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	1.0	ELIGIBLE	B_cell	NOT_SUPPORTED_OR_UNDERPOWERED	endothelial_fraction;malignant_epithelial_fraction;lymphoid_fraction	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	STROMAL_OR_IMMUNE_SOURCE_SUPPORTED	False		PASS	Feature satisfied coverage rules and was correctly classified.
ZNF384	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.954545454545455	ELIGIBLE	endothelial	NOT_SUPPORTED_OR_UNDERPOWERED		PARTIAL_CELLULAR_SUPPORT	PARTIAL_CELLULAR_SUPPORT	False		PASS	Feature satisfied coverage rules and was correctly classified.
ZNF740	PARTIALLY_REPLICATED_OR_DISCOVERY_SUPPORTED_HOST_FEATURE	0.947368421052632	ELIGIBLE	malignant_epithelial	NOT_SUPPORTED_OR_UNDERPOWERED		PARTIAL_CELLULAR_SUPPORT	PARTIAL_CELLULAR_SUPPORT	False		PASS	Feature satisfied coverage rules and was correctly classified.
