feature_name	database	feature_type	query_result_status	query_result_path	value_used_in_scoring	reproducibility_decision	reviewer_verification
BHLHE40	ChEMBL	GENE_SYMBOL	NOT_RUN_DATABASE_UNAVAILABLE		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
CTCFL	OpenTargets	GENE_SYMBOL	NOT_RUN_DATABASE_UNAVAILABLE		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
CTCFL	GTEx	GENE_SYMBOL	NOT_RUN_DATABASE_UNAVAILABLE		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
CTCFL	ChEMBL	GENE_SYMBOL	NOT_RUN_DATABASE_UNAVAILABLE		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Ochrobactrum	OpenTargets	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Ochrobactrum	GTEx	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Ochrobactrum	ChEMBL	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Staphylococcus	OpenTargets	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Staphylococcus	GTEx	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Staphylococcus	ChEMBL	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Lysobacter	OpenTargets	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Lysobacter	GTEx	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Lysobacter	ChEMBL	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Brevundimonas	OpenTargets	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Brevundimonas	GTEx	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Brevundimonas	ChEMBL	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Paraburkholderia	OpenTargets	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Paraburkholderia	GTEx	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
Paraburkholderia	ChEMBL	MICROBIAL_TAXON	NOT_APPLICABLE_MICROBIAL_TAXON		NONE	DATABASE_VALUE_NOT_USED	VERIFIED_NO_UNAUTHORIZED_HARDCODING
