discovery_feature	cohorts_available	gene_coverage	cohort_specific_directions	effect_sizes	confidence_intervals	replication_test_result	negative_control_support	locked_category	reviewer_category	reviewer_notes
JUNB	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.2078; GSE71729:0.0286; GSE62452:0.0956	TCGA_PAAD:[0.0383, 0.3774]; GSE71729:[-0.1439, 0.2011]; GSE62452:[-0.0664, 0.2575]	TCGA_PAAD:non-sig(q=0.05037); GSE71729:non-sig(q=0.8784); GSE62452:non-sig(q=0.7294)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
KDM5B	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:0/1(0); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:neutral; GSE62452:positive	TCGA_PAAD:0.0392; GSE71729:nan; GSE62452:0.1304	TCGA_PAAD:[-0.1293, 0.2077]; GSE71729:[nan, nan]; GSE62452:[-0.1376, 0.3984]	TCGA_PAAD:non-sig(q=0.7599); GSE71729:non-sig(q=nan); GSE62452:non-sig(q=0.7294)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
KLF1	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:negative	TCGA_PAAD:0.0113; GSE71729:-0.0877; GSE62452:-0.0964	TCGA_PAAD:[-0.1459, 0.1685]; GSE71729:[-0.2541, 0.0788]; GSE62452:[-0.2729, 0.0801]	TCGA_PAAD:non-sig(q=0.9223); GSE71729:non-sig(q=0.6642); GSE62452:non-sig(q=0.7294)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
KLF13	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:positive	TCGA_PAAD:0.0852; GSE71729:-0.0133; GSE62452:0.0521	TCGA_PAAD:[-0.1035, 0.2740]; GSE71729:[-0.2411, 0.2145]; GSE62452:[-0.1850, 0.2892]	TCGA_PAAD:non-sig(q=0.6089); GSE71729:non-sig(q=0.9495); GSE62452:non-sig(q=0.8092)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
KLF9	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:0/1(0)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:neutral	TCGA_PAAD:0.0936; GSE71729:-0.1507; GSE62452:nan	TCGA_PAAD:[-0.0937, 0.2808]; GSE71729:[-0.3441, 0.0427]; GSE62452:[nan, nan]	TCGA_PAAD:non-sig(q=0.5568); GSE71729:non-sig(q=0.3486); GSE62452:non-sig(q=nan)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
MAFF	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:negative	TCGA_PAAD:0.1670; GSE71729:0.1855; GSE62452:-0.0544	TCGA_PAAD:[0.0247, 0.3094]; GSE71729:[-0.0103, 0.3812]; GSE62452:[-0.2781, 0.1693]	TCGA_PAAD:non-sig(q=0.06079); GSE71729:non-sig(q=0.2611); GSE62452:non-sig(q=0.8092)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
MBD1	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:negative	TCGA_PAAD:0.0281; GSE71729:-0.0372; GSE62452:-0.0253	TCGA_PAAD:[-0.1204, 0.1766]; GSE71729:[-0.2245, 0.1501]; GSE62452:[-0.2618, 0.2111]	TCGA_PAAD:non-sig(q=0.7798); GSE71729:non-sig(q=0.8784); GSE62452:non-sig(q=0.9222)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
MBD2	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0737; GSE71729:0.0940; GSE62452:0.1549	TCGA_PAAD:[-0.1880, 0.3353]; GSE71729:[-0.1331, 0.3211]; GSE62452:[-0.1003, 0.4101]	TCGA_PAAD:non-sig(q=0.7318); GSE71729:non-sig(q=0.7864); GSE62452:non-sig(q=0.7294)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
MNT	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.2229; GSE71729:0.0106; GSE62452:0.1136	TCGA_PAAD:[0.0556, 0.3903]; GSE71729:[-0.1657, 0.1870]; GSE62452:[-0.1335, 0.3607]	TCGA_PAAD:sig(q=0.03829); GSE71729:non-sig(q=0.9495); GSE62452:non-sig(q=0.7351)	No	NOT_REPLICATED	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
MXI1	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:positive	TCGA_PAAD:0.2510; GSE71729:-0.0547; GSE62452:0.0821	TCGA_PAAD:[0.0581, 0.4439]; GSE71729:[-0.2996, 0.1903]; GSE62452:[-0.1976, 0.3619]	TCGA_PAAD:sig(q=0.03829); GSE71729:non-sig(q=0.8784); GSE62452:non-sig(q=0.8092)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
OTX2	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.1729; GSE71729:0.1469; GSE62452:0.0542	TCGA_PAAD:[-0.5133, 0.1674]; GSE71729:[-0.0345, 0.3282]; GSE62452:[-0.2100, 0.3183]	TCGA_PAAD:non-sig(q=0.5568); GSE71729:non-sig(q=0.3486); GSE62452:non-sig(q=0.8092)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
SIX5	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0424; GSE71729:0.0273; GSE62452:0.0110	TCGA_PAAD:[-0.1196, 0.2044]; GSE71729:[-0.1280, 0.1827]; GSE62452:[-0.2186, 0.2405]	TCGA_PAAD:non-sig(q=0.7382); GSE71729:non-sig(q=0.8784); GSE62452:non-sig(q=0.9253)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
SNAI2	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.6292; GSE71729:0.5246; GSE62452:0.3981	TCGA_PAAD:[0.5009, 0.7575]; GSE71729:[0.3529, 0.6964]; GSE62452:[0.1633, 0.6329]	TCGA_PAAD:sig(q=2.38e-20); GSE71729:sig(q=7.081e-08); GSE62452:sig(q=0.01337)	No	NOT_REPLICATED	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
SNAPC4	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:0/1(0)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:neutral	TCGA_PAAD:0.0519; GSE71729:-0.0030; GSE62452:nan	TCGA_PAAD:[-0.1032, 0.2070]; GSE71729:[-0.2183, 0.2124]; GSE62452:[nan, nan]	TCGA_PAAD:non-sig(q=0.7254); GSE71729:non-sig(q=0.9784); GSE62452:non-sig(q=nan)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
STAT1	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.1735; GSE71729:0.2488; GSE62452:0.1502	TCGA_PAAD:[0.0090, 0.3380]; GSE71729:[0.0622, 0.4355]; GSE62452:[-0.1313, 0.4317]	TCGA_PAAD:non-sig(q=0.09398); GSE71729:non-sig(q=0.05927); GSE62452:non-sig(q=0.7294)	No	NOT_REPLICATED	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
TEAD4	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.1130; GSE71729:0.1885; GSE62452:0.1936	TCGA_PAAD:[-0.0572, 0.2833]; GSE71729:[0.0059, 0.3712]; GSE62452:[-0.0103, 0.3974]	TCGA_PAAD:non-sig(q=0.3864); GSE71729:non-sig(q=0.203); GSE62452:non-sig(q=0.4466)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
TFAP4	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.1495; GSE71729:-0.1160; GSE62452:-0.0682	TCGA_PAAD:[-0.3315, 0.0324]; GSE71729:[-0.3237, 0.0918]; GSE62452:[-0.2608, 0.1244]	TCGA_PAAD:non-sig(q=0.2431); GSE71729:non-sig(q=0.6459); GSE62452:non-sig(q=0.7925)	No	NOT_REPLICATED	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
TP63	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.4234; GSE71729:0.4132; GSE62452:0.5686	TCGA_PAAD:[0.1885, 0.6583]; GSE71729:[0.1164, 0.7100]; GSE62452:[0.2506, 0.8867]	TCGA_PAAD:sig(q=0.003501); GSE71729:non-sig(q=0.05244); GSE62452:sig(q=0.01337)	No	TO_VERIFY	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
TWIST1	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.3546; GSE71729:0.4713; GSE62452:0.1429	TCGA_PAAD:[0.2124, 0.4968]; GSE71729:[0.2846, 0.6580]; GSE62452:[-0.1445, 0.4302]	TCGA_PAAD:sig(q=1.74e-05); GSE71729:sig(q=1.244e-05); GSE62452:non-sig(q=0.7294)	No	TO_VERIFY	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
ZBED1	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:0/1(0)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:neutral	TCGA_PAAD:-0.0512; GSE71729:-0.0412; GSE62452:nan	TCGA_PAAD:[-0.2268, 0.1244]; GSE71729:[-0.2888, 0.2064]; GSE62452:[nan, nan]	TCGA_PAAD:non-sig(q=0.7318); GSE71729:non-sig(q=0.8784); GSE62452:non-sig(q=nan)	No	NOT_REPLICATED	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
ZBTB11	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:negative	TCGA_PAAD:0.0566; GSE71729:-0.0571; GSE62452:-0.0184	TCGA_PAAD:[-0.1216, 0.2349]; GSE71729:[-0.2061, 0.0919]; GSE62452:[-0.2827, 0.2459]	TCGA_PAAD:non-sig(q=0.7257); GSE71729:non-sig(q=0.7864); GSE62452:non-sig(q=0.9222)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
ZBTB7A	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:negative	TCGA_PAAD:-0.1234; GSE71729:0.0849; GSE62452:-0.0196	TCGA_PAAD:[-0.3039, 0.0571]; GSE71729:[-0.0851, 0.2548]; GSE62452:[-0.2419, 0.2028]	TCGA_PAAD:non-sig(q=0.3831); GSE71729:non-sig(q=0.6759); GSE62452:non-sig(q=0.9222)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
ZNF24	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.2032; GSE71729:-0.2522; GSE62452:-0.2597	TCGA_PAAD:[-0.3560, -0.0503]; GSE71729:[-0.4580, -0.0465]; GSE62452:[-0.4915, -0.0279]	TCGA_PAAD:sig(q=0.03829); GSE71729:non-sig(q=0.08946); GSE62452:non-sig(q=0.281)	No	TO_VERIFY	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
ZNF384	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.0503; GSE71729:0.1135; GSE62452:0.1042	TCGA_PAAD:[-0.3120, 0.2113]; GSE71729:[-0.0588, 0.2858]; GSE62452:[-0.1599, 0.3684]	TCGA_PAAD:non-sig(q=0.7798); GSE71729:non-sig(q=0.4991); GSE62452:non-sig(q=0.7753)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
ZNF639	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:positive	TCGA_PAAD:0.2523; GSE71729:-0.0291; GSE62452:0.0818	TCGA_PAAD:[0.0846, 0.4199]; GSE71729:[-0.1889, 0.1308]; GSE62452:[-0.1571, 0.3207]	TCGA_PAAD:sig(q=0.02167); GSE71729:non-sig(q=0.8784); GSE62452:non-sig(q=0.7925)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
ZNF740	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1); GSE71729:1/1(1); GSE62452:1/1(1)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:negative	TCGA_PAAD:-0.0060; GSE71729:0.0097; GSE62452:-0.0536	TCGA_PAAD:[-0.1710, 0.1590]; GSE71729:[-0.1817, 0.2011]; GSE62452:[-0.2670, 0.1597]	TCGA_PAAD:non-sig(q=0.9435); GSE71729:non-sig(q=0.9495); GSE62452:non-sig(q=0.8092)	No	PARTIALLY_REPLICATED_HOST_FEATURE	TO_VERIFY	decoupleR/VIPER was not run; proxy single-gene expression used instead. Rerun required.
MEblack	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:258/270(0.956); GSE71729:65/270(0.241); GSE62452:76/270(0.281)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0091; GSE71729:0.0154; GSE62452:0.0067	TCGA_PAAD:[0.0056, 0.0126]; GSE71729:[0.0101, 0.0207]; GSE62452:[0.0025, 0.0109]	TCGA_PAAD:sig(q=9.639e-07); GSE71729:sig(q=4.674e-08); GSE62452:sig(q=0.004089)	Yes	EXTERNALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Replicated in TCGA_PAAD only; GSE71729 (cov=24.1%) and GSE62452 (cov=28.1%) failed 80% coverage feasibility.
MEblue	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1607/1691(0.95); GSE71729:488/1691(0.289); GSE62452:601/1691(0.355)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0115; GSE71729:0.0229; GSE62452:0.0159	TCGA_PAAD:[0.0078, 0.0152]; GSE71729:[0.0148, 0.0310]; GSE62452:[0.0100, 0.0218]	TCGA_PAAD:sig(q=3.353e-09); GSE71729:sig(q=7.888e-08); GSE62452:sig(q=4.469e-07)	Yes	EXTERNALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Replicated in TCGA_PAAD only; GSE71729 (cov=28.9%) and GSE62452 (cov=35.5%) failed 80% coverage feasibility.
MEgreen	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:506/515(0.983); GSE71729:173/515(0.336); GSE62452:205/515(0.398)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.0247; GSE71729:-0.0345; GSE62452:-0.0289	TCGA_PAAD:[-0.0298, -0.0195]; GSE71729:[-0.0416, -0.0273]; GSE62452:[-0.0338, -0.0239]	TCGA_PAAD:sig(q=4.001e-20); GSE71729:sig(q=3.546e-20); GSE62452:sig(q=8.909e-30)	Yes	EXTERNALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Replicated in TCGA_PAAD only; GSE71729 (cov=33.6%) and GSE62452 (cov=39.8%) failed 80% coverage feasibility.
MEgreenyellow	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:156/166(0.94); GSE71729:50/166(0.301); GSE62452:62/166(0.373)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:positive	TCGA_PAAD:0.0034; GSE71729:-0.0026; GSE62452:0.0046	TCGA_PAAD:[-0.0008, 0.0077]; GSE71729:[-0.0086, 0.0035]; GSE62452:[0.0007, 0.0086]	TCGA_PAAD:non-sig(q=0.1603); GSE71729:non-sig(q=0.4038); GSE62452:sig(q=0.03564)	No	PARTIALLY_REPLICATED_HOST_FEATURE	NOT_REPLICATED	Fails replication in TCGA_PAAD; GSE71729 (cov=30.1%) and GSE62452 (cov=37.3%) failed 80% coverage feasibility.
MEpurple	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:195/200(0.975); GSE71729:32/200(0.16); GSE62452:39/200(0.195)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:negative	TCGA_PAAD:0.0097; GSE71729:-0.0071; GSE62452:-0.0096	TCGA_PAAD:[-0.0052, 0.0246]; GSE71729:[-0.0209, 0.0067]; GSE62452:[-0.0216, 0.0025]	TCGA_PAAD:non-sig(q=0.2362); GSE71729:non-sig(q=0.3654); GSE62452:non-sig(q=0.1415)	No	PARTIALLY_REPLICATED_HOST_FEATURE	NOT_REPLICATED	Fails replication in TCGA_PAAD; GSE71729 (cov=16.0%) and GSE62452 (cov=19.5%) failed 80% coverage feasibility.
