taxon	host_feature	host_feature_collection	primary_CLR_direction	rCLR_direction	direction_agreement	coefficient_range	FDR_range	sample_exclusion_stability	contamination_exclusion_stability	TRANSFORMATION_SENSITIVE_MECHANISM
Ensifer	HALLMARK_DNA_REPAIR	MSigDB_Hallmark	positive	negative	FALSE	-0.00481724614989137;0.00770046253364491	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ensifer	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	positive	negative	FALSE	-0.0160238469837481;0.0213985766416672	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ensifer	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	positive	negative	FALSE	-0.0134757025947196;0.0177209260604216	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ensifer	HALLMARK_HEME_METABOLISM	MSigDB_Hallmark	negative	positive	FALSE	-0.00435674343980615;0.00415760544815032	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ensifer	HALLMARK_KRAS_SIGNALING_UP	MSigDB_Hallmark	negative	positive	FALSE	-0.0149294288353568;0.0126809008837054	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ensifer	HALLMARK_MYC_TARGETS_V1	MSigDB_Hallmark	positive	negative	FALSE	-0.00487891666157225;0.00909287981371232	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ensifer	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	positive	negative	FALSE	-0.010152971187266;0.0130745763434816	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ensifer	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	negative	positive	FALSE	-0.0740398374602979;0.0574049041608	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ensifer	HALLMARK_PEROXISOME	MSigDB_Hallmark	negative	positive	FALSE	-0.00871391804375136;0.00796682158823581	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	positive	negative	FALSE	-0.0239609418681242;0.0343410764164175	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	positive	negative	FALSE	-0.00355473574503959;0.0194056825430522	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_COMPLEMENT	MSigDB_Hallmark	positive	negative	FALSE	-0.0119897346583639;0.015138494472019	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	negative	positive	FALSE	-0.012381903796484;0.00308500805904889	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_HEME_METABOLISM	MSigDB_Hallmark	positive	negative	FALSE	-0.00368794336077039;0.00496001477982227	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_HYPOXIA	MSigDB_Hallmark	negative	negative	TRUE	-0.0093462449839921;-0.0030750921589063	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_IL2_STAT5_SIGNALING	MSigDB_Hallmark	positive	negative	FALSE	-0.00997502282482612;0.0149344796290211	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	positive	positive	TRUE	0.00268359960434834;0.0165398883576946	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	positive	negative	FALSE	-0.0067011017701656;0.0184977701060595	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_KRAS_SIGNALING_UP	MSigDB_Hallmark	positive	negative	FALSE	-0.00818214845610675;0.0174252664159993	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_MYC_TARGETS_V2	MSigDB_Hallmark	negative	positive	FALSE	-0.0156961372416677;0.00353698365442281	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	negative	positive	FALSE	-0.0116901913009645;0.00146394635646921	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	positive	negative	FALSE	-0.0286019119547791;0.0902002968731433	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_PEROXISOME	MSigDB_Hallmark	positive	negative	FALSE	-0.00347935202825072;0.0079401226313977	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	positive	negative	FALSE	-0.0018114209071464;0.00688040200959458	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	positive	negative	FALSE	-0.0022859597199546;0.0112219354732339	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Cutibacterium	HALLMARK_WNT_BETA_CATENIN_SIGNALING	MSigDB_Hallmark	negative	positive	FALSE	-0.00615224891486859;0.00701460604276125	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Chryseobacterium	HALLMARK_NOTCH_SIGNALING	MSigDB_Hallmark	negative	negative	TRUE	-0.0074780916883589;-0.00140555085774879	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ochrobactrum	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	negative	negative	TRUE	-0.0249723572179599;-0.0214543885356874	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	FALSE
Ochrobactrum	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	negative	negative	TRUE	-0.00635225404844394;-0.00576344316640169	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	FALSE
Ochrobactrum	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	negative	negative	TRUE	-0.0206833486807721;-0.0152559344916184	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	FALSE
Ochrobactrum	HALLMARK_COMPLEMENT	MSigDB_Hallmark	negative	negative	TRUE	-0.0133768233156017;-0.0112676657980391	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	FALSE
Ochrobactrum	HALLMARK_HEME_METABOLISM	MSigDB_Hallmark	negative	negative	TRUE	-0.00371964521904086;-0.0027948301862091	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ochrobactrum	HALLMARK_HYPOXIA	MSigDB_Hallmark	positive	positive	TRUE	0.00630049082598968;0.00807986453706661	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ochrobactrum	HALLMARK_KRAS_SIGNALING_DN	MSigDB_Hallmark	positive	positive	TRUE	0.00650291879893858;0.00995917372691121	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	FALSE
Ochrobactrum	HALLMARK_KRAS_SIGNALING_UP	MSigDB_Hallmark	negative	negative	TRUE	-0.0188474721104383;-0.0151369580341086	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	FALSE
Ochrobactrum	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	positive	positive	TRUE	0.0071473723350589;0.0114259903327302	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ochrobactrum	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	negative	negative	TRUE	-0.0780627016886137;-0.0706948220988411	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	FALSE
Ochrobactrum	HALLMARK_PEROXISOME	MSigDB_Hallmark	negative	negative	TRUE	-0.00733345722167627;-0.00515819959113206	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Ochrobactrum	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	negative	negative	TRUE	-0.00730314518042278;-0.00572162042548447	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	FALSE
Ochrobactrum	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	negative	negative	TRUE	-0.0126216364606252;-0.0120517902563461	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	FALSE
Ochrobactrum	HALLMARK_UV_RESPONSE_DN	MSigDB_Hallmark	negative	negative	TRUE	-0.0103867069212517;-0.00825068105535467	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	FALSE
Ochrobactrum	HALLMARK_WNT_BETA_CATENIN_SIGNALING	MSigDB_Hallmark	positive	positive	TRUE	0.00383995509244056;0.0066910856447614	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	positive	negative	FALSE	-0.0270076359488964;0.0366957502356045	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_ANGIOGENESIS	MSigDB_Hallmark	positive	negative	FALSE	-0.00595338857106351;0.014808891051812	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_APOPTOSIS	MSigDB_Hallmark	positive	negative	FALSE	-0.00250155783226896;0.00454840609968656	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	positive	negative	FALSE	-0.0107674404900172;0.0174231624183748	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_COMPLEMENT	MSigDB_Hallmark	positive	negative	FALSE	-0.012335715235917;0.0171933703994506	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_E2F_TARGETS	MSigDB_Hallmark	negative	positive	FALSE	-0.0185140201978501;0.00522851240091598	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_G2M_CHECKPOINT	MSigDB_Hallmark	negative	positive	FALSE	-0.0172982331889188;0.00493942724782466	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_GLYCOLYSIS	MSigDB_Hallmark	negative	positive	FALSE	-0.00960632018749125;0.0071952364431927	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_HEDGEHOG_SIGNALING	MSigDB_Hallmark	positive	negative	FALSE	-0.00418069786022814;0.0130907978910317	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_HEME_METABOLISM	MSigDB_Hallmark	positive	negative	FALSE	-0.00408981270839468;0.00516042427104525	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_IL2_STAT5_SIGNALING	MSigDB_Hallmark	positive	negative	FALSE	-0.0116159968468863;0.0159757819497013	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_IL6_JAK_STAT3_SIGNALING	MSigDB_Hallmark	positive	negative	FALSE	-0.0159686505486233;0.0263135596213874	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	positive	negative	FALSE	-0.015084366567086;0.0217230583583336	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_INTERFERON_ALPHA_RESPONSE	MSigDB_Hallmark	positive	negative	FALSE	-0.00414428538396296;0.0181926334343785	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	positive	negative	FALSE	-0.00945217038099442;0.0213871944833521	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_KRAS_SIGNALING_UP	MSigDB_Hallmark	positive	negative	FALSE	-0.0150497190734125;0.0148463633642363	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_MITOTIC_SPINDLE	MSigDB_Hallmark	negative	positive	FALSE	-0.00728367095423466;0.00357632273714653	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_P53_PATHWAY	MSigDB_Hallmark	negative	positive	FALSE	-0.0068481955179581;0.00821427413335415	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	positive	negative	FALSE	-0.0668673467403941;0.0756168885999308	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_PEROXISOME	MSigDB_Hallmark	positive	negative	FALSE	-0.00578376284396245;0.00794544793066282	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	positive	negative	FALSE	-0.00944934188875414;0.00810623052401548	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSigDB_Hallmark	positive	negative	FALSE	-0.000852580464457825;0.00936808537483839	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_UV_RESPONSE_UP	MSigDB_Hallmark	positive	positive	TRUE	0.000643001095114944;0.00442813007420983	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Burkholderia	HALLMARK_XENOBIOTIC_METABOLISM	MSigDB_Hallmark	positive	negative	FALSE	-0.00427865946930494;0.011442366756958	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	positive	negative	FALSE	-0.0277342669263075;0.0270851379813619	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_ANDROGEN_RESPONSE	MSigDB_Hallmark	positive	negative	FALSE	-0.00111112495919302;0.00706259654665131	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_BILE_ACID_METABOLISM	MSigDB_Hallmark	positive	negative	FALSE	-0.0120649384642462;0.01150930370204	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_COMPLEMENT	MSigDB_Hallmark	positive	negative	FALSE	-0.0106344969078571;0.0143171448522814	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_FATTY_ACID_METABOLISM	MSigDB_Hallmark	positive	positive	TRUE	0.00179742968535237;0.00970194480660104	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_HEME_METABOLISM	MSigDB_Hallmark	positive	negative	FALSE	-0.00251926329446232;0.00529924756998425	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_IL2_STAT5_SIGNALING	MSigDB_Hallmark	positive	negative	FALSE	-0.0101100112407523;0.0131534210698253	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_IL6_JAK_STAT3_SIGNALING	MSigDB_Hallmark	positive	negative	FALSE	-0.0160367761925254;0.019966431637588	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	positive	negative	FALSE	-0.0140281332393501;0.0168205376013363	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_KRAS_SIGNALING_UP	MSigDB_Hallmark	positive	negative	FALSE	-0.00965092336336789;0.0153552688811777	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_OXIDATIVE_PHOSPHORYLATION	MSigDB_Hallmark	positive	positive	TRUE	0.00492439563673191;0.00887309167512916	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_PANCREAS_BETA_CELLS	MSigDB_Hallmark	positive	negative	FALSE	-0.0553882548407638;0.0653063307095781	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_PEROXISOME	MSigDB_Hallmark	positive	negative	FALSE	-0.0025889613567261;0.00841930035057976	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_PROTEIN_SECRETION	MSigDB_Hallmark	positive	negative	FALSE	-0.00235579127490079;0.00681083902134598	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_SPERMATOGENESIS	MSigDB_Hallmark	positive	negative	FALSE	-0.00476174005361719;0.0097219739322975	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Rhizobium	HALLMARK_XENOBIOTIC_METABOLISM	MSigDB_Hallmark	positive	positive	TRUE	0.000227786271266286;0.0122272247535843	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
Herbaspirillum	HALLMARK_ALLOGRAFT_REJECTION	MSigDB_Hallmark	negative	positive	FALSE	-0.0247798603198567;0.0295380507425702	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	NA	TRUE
Herbaspirillum	HALLMARK_APOPTOSIS	MSigDB_Hallmark	negative	positive	FALSE	-0.00524315383036334;0.00517888753421391	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	NA	TRUE
Herbaspirillum	HALLMARK_COMPLEMENT	MSigDB_Hallmark	negative	positive	FALSE	-0.0130113143291862;0.0145239483998261	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	NA	TRUE
Herbaspirillum	HALLMARK_IL2_STAT5_SIGNALING	MSigDB_Hallmark	negative	positive	FALSE	-0.0112529283909224;0.013824963155052	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	NA	TRUE
Herbaspirillum	HALLMARK_IL6_JAK_STAT3_SIGNALING	MSigDB_Hallmark	negative	positive	FALSE	-0.0185487495711951;0.0198271926827827	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	NA	TRUE
Herbaspirillum	HALLMARK_INFLAMMATORY_RESPONSE	MSigDB_Hallmark	negative	positive	FALSE	-0.0152132398832371;0.0185172271456874	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	NA	TRUE
Herbaspirillum	HALLMARK_INTERFERON_GAMMA_RESPONSE	MSigDB_Hallmark	negative	positive	FALSE	-0.0129148300587068;0.0114842415758732	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	NA	TRUE
Herbaspirillum	HALLMARK_TNFA_SIGNALING_VIA_NFKB	MSigDB_Hallmark	negative	positive	FALSE	-0.0109307430957115;0.00806534624019669	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	NA	TRUE
Herbaspirillum	HALLMARK_WNT_BETA_CATENIN_SIGNALING	MSigDB_Hallmark	positive	negative	FALSE	-0.00961562299956519;0.00798433870269145	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	NA	TRUE
Azoarcus	Hypoxia	PROGENy	negative	positive	FALSE	-0.307489550327378;0.23868362665604	q_values_reported_in_primary_tables	see_phase8b_sample_influence.tsv	TRUE	TRUE
