control_type	target_feature	iteration_count	random_seed	execution_status	empirical_p_value	candidate_statistic	control_statistic	failure_reason	independent_review_status	notes
patient-label permutation	ZBTB7A	1000	2026	EXECUTED	0.882	0.167072497827222	0.622946800188146		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.882.
patient-label permutation	ZNF24	1000	2026	EXECUTED	0.024	2.52248520455845	0.646069844848889		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.024.
patient-label permutation	BHLHE40	1000	2026	EXECUTED	0.562	0.609148284565233	0.691987977321922		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.562.
patient-label permutation	E2F6	1000	2026	EXECUTED	0.209	1.18519608927037	0.615021807140457		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.209.
patient-label permutation	ELF1	1000	2026	EXECUTED	0.434	0.768982325034834	0.661637861296391		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.434.
patient-label permutation	GRHL2	1000	2026	EXECUTED	0.542	0.602601007842656	0.65472351673165		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.542.
patient-label permutation	KLF1	1000	2026	EXECUTED	0.574	0.522781653826104	0.625562949879581		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.574.
patient-label permutation	MBD1	1000	2026	EXECUTED	0.106	1.65610388644561	0.634795489624342		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.106.
patient-label permutation	MBD2	1000	2026	EXECUTED	0.247	1.13616701768595	0.623099715882511		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.247.
patient-label permutation	OTX2	1000	2026	EXECUTED	0.887	0.135381426606466	0.625456161893711		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.887.
patient-label permutation	SIX5	1000	2026	EXECUTED	0.459	0.71490072710821	0.6520025229792		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.459.
patient-label permutation	SNAPC4	1000	2026	EXECUTED	0.933	0.0743645692779928	0.663126480174813		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.933.
patient-label permutation	ZBED1	1000	2026	EXECUTED	0.553	0.582708377416434	0.65606157356845		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.553.
patient-label permutation	ZNF384	1000	2026	EXECUTED	0.242	1.0765367611111	0.606174428382028		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.242.
patient-label permutation	ZNF740	1000	2026	EXECUTED	0.35	0.949346144007053	0.658074893750647		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.35.
cell-type-label permutation	HALLMARK_PROTEIN_SECRETION	1000	2026	EXECUTED	0.0	68.2487572777861	0.953605439900637		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	HALLMARK_SPERMATOGENESIS	1000	2026	EXECUTED	0.0	28.1208304645155	0.967524253148707		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	CTCFL	1000	2026	EXECUTED	0.0	148.245020230803	0.881610801920151		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	IRF3	1000	2026	EXECUTED	0.0	56.1272310959009	1.36028489188691		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	JUNB	1000	2026	EXECUTED	0.0	37.4011947334828	0.913346128656983		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	KLF13	1000	2026	EXECUTED	0.0	16.3701565001391	1.14584251206048		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	KLF9	1000	2026	EXECUTED	0.0	226.52662162518	0.849559597220916		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	MNT	1000	2026	EXECUTED	0.0	81.7837205940315	0.929493842417491		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	MXI1	1000	2026	EXECUTED	0.0	69.764174555163	0.827052808366441		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	SNAI2	1000	2026	EXECUTED	0.0	131.913159181908	0.919488690563521		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	TFAP4	1000	2026	EXECUTED	0.0	112.827093153706	0.861578527553336		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	TP63	1000	2026	EXECUTED	0.0	45.6781953111697	1.17671957793302		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	ZBTB7A	1000	2026	EXECUTED	0.0	180.796666289792	0.902948032107034		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	ZNF24	1000	2026	EXECUTED	0.0	39.1236270167594	1.1204477098662		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	BHLHE40	1000	2026	EXECUTED	0.0	67.8965622023626	1.1221527996894		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	E2F6	1000	2026	EXECUTED	0.0	73.0087632559182	0.87125143496855		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	ELF1	1000	2026	EXECUTED	0.0	81.1263693528309	0.866676443270042		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	GRHL2	1000	2026	EXECUTED	0.0	250.693693351367	0.803955311480646		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	KLF1	1000	2026	EXECUTED	0.0	43.6405294898104	1.37875996608669		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	MBD1	1000	2026	EXECUTED	0.0	23.8069979745147	1.12433399414288		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	MBD2	1000	2026	EXECUTED	0.0	25.6709364762803	0.936485686334827		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	OTX2	1000	2026	EXECUTED	0.0	144.963066669998	0.764406565932607		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	SIX5	1000	2026	EXECUTED	0.0	43.1907320193315	1.18118957523726		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	SNAPC4	1000	2026	EXECUTED	0.0	22.7286856256279	0.997452086683172		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	ZBED1	1000	2026	EXECUTED	0.0	37.9943057339708	1.27322884068564		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	ZNF384	1000	2026	EXECUTED	0.0	67.5773397190623	0.843477712246846		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
cell-type-label permutation	ZNF740	1000	2026	EXECUTED	0.0	51.0832964665936	0.902670811301503		PASS	Executed permutation control with 1000 iterations. Empirical p-value = 0.0.
