discovery_feature	cohorts_available	gene_coverage	cohort_specific_directions	effect_sizes	confidence_intervals	replication_test_result	negative_control_support	locked_category	reviewer_category	reviewer_notes
JUNB	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.0291; GSE71729:0.1483; GSE62452:0.0873	TCGA_PAAD:[-0.1025, 0.0444]; GSE71729:[0.0637, 0.2330]; GSE62452:[0.0168, 0.1579]	TCGA_PAAD:non-sig(q=5.830e-01); GSE71729:sig(q=3.563e-03); GSE62452:sig(q=1.150e-01)	NA	EXTERNALLY_REPLICATED_HOST_FEATURE	EXTERNALLY_REPLICATED_HOST_FEATURE	Externally replicated. Supported in 2 cohorts out of 3 eligible cohorts. Note: opposite direction in TCGA_PAAD.
KDM5B	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.0198; GSE71729:0.0511; GSE62452:0.0512	TCGA_PAAD:[-0.0610, 0.0215]; GSE71729:[-0.0014, 0.1036]; GSE62452:[-0.0057, 0.1082]	TCGA_PAAD:non-sig(q=5.651e-01); GSE71729:non-sig(q=8.795e-02); GSE62452:non-sig(q=2.466e-01)	NA	NOT_REPLICATED	NOT_REPLICATED	Fails replication. Supported in 0 cohorts, and direction is inconsistent (opposite in 1 cohorts).
KLF1	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0560; GSE71729:0.0746; GSE62452:0.0612	TCGA_PAAD:[0.0065, 0.1055]; GSE71729:[-0.0035, 0.1528]; GSE62452:[-0.0198, 0.1422]	TCGA_PAAD:sig(q=1.063e-01); GSE71729:non-sig(q=8.795e-02); GSE62452:non-sig(q=2.572e-01)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Supported in 1 cohort (TCGA_PAAD) out of 3 eligible cohorts.
KLF13	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.0561; GSE71729:-0.1167; GSE62452:-0.0488	TCGA_PAAD:[-0.1002, -0.0120]; GSE71729:[-0.1814, -0.0521]; GSE62452:[-0.1124, 0.0148]	TCGA_PAAD:sig(q=7.430e-02); GSE71729:sig(q=3.444e-03); GSE62452:non-sig(q=2.572e-01)	NA	EXTERNALLY_REPLICATED_HOST_FEATURE	EXTERNALLY_REPLICATED_HOST_FEATURE	Externally replicated. Supported in 2 cohorts out of 3 eligible cohorts.
KLF9	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0644; GSE71729:0.1158; GSE62452:0.0903	TCGA_PAAD:[0.0016, 0.1273]; GSE71729:[0.0196, 0.2121]; GSE62452:[-0.0134, 0.1940]	TCGA_PAAD:sig(q=1.424e-01); GSE71729:sig(q=4.507e-02); GSE62452:non-sig(q=2.466e-01)	NA	EXTERNALLY_REPLICATED_HOST_FEATURE	EXTERNALLY_REPLICATED_HOST_FEATURE	Externally replicated. Supported in 2 cohorts out of 3 eligible cohorts.
MAFF	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:negative	TCGA_PAAD:-0.0161; GSE71729:0.0094; GSE62452:-0.0067	TCGA_PAAD:[-0.0731, 0.0409]; GSE71729:[-0.0675, 0.0863]; GSE62452:[-0.0831, 0.0697]	TCGA_PAAD:non-sig(q=7.318e-01); GSE71729:non-sig(q=8.117e-01); GSE62452:non-sig(q=8.648e-01)	NA	NOT_REPLICATED	NOT_REPLICATED	Fails replication. Supported in 0 cohorts, and direction is inconsistent (opposite in 1 cohorts).
MBD1	TCGA_PAAD, GSE62452	TCGA_PAAD:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE62452:negative	TCGA_PAAD:-0.0832; GSE62452:-0.0253	TCGA_PAAD:[-0.1374, -0.0290]; GSE62452:[-0.0942, 0.0435]	TCGA_PAAD:sig(q=5.115e-02); GSE62452:non-sig(q=6.061e-01)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Supported in 1 cohort (TCGA_PAAD) out of 2 eligible cohorts.
MBD2	TCGA_PAAD, GSE62452	TCGA_PAAD:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE62452:positive	TCGA_PAAD:0.0579; GSE62452:0.0598	TCGA_PAAD:[0.0126, 0.1033]; GSE62452:[-0.0075, 0.1271]	TCGA_PAAD:sig(q=7.430e-02); GSE62452:non-sig(q=2.466e-01)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Supported in 1 cohort (TCGA_PAAD) out of 2 eligible cohorts.
MNT	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.0634; GSE71729:-0.1423; GSE62452:-0.1022	TCGA_PAAD:[-0.1141, -0.0127]; GSE71729:[-0.2434, -0.0412]; GSE62452:[-0.1903, -0.0142]	TCGA_PAAD:sig(q=7.430e-02); GSE71729:sig(q=2.106e-02); GSE62452:sig(q=1.271e-01)	NA	EXTERNALLY_REPLICATED_HOST_FEATURE	EXTERNALLY_REPLICATED_HOST_FEATURE	Externally replicated. Supported in 3 cohorts out of 3 eligible cohorts.
MXI1	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.0401; GSE71729:-0.1016; GSE62452:-0.0813	TCGA_PAAD:[-0.0845, 0.0042]; GSE71729:[-0.1591, -0.0441]; GSE62452:[-0.1522, -0.0105]	TCGA_PAAD:non-sig(q=2.030e-01); GSE71729:sig(q=3.563e-03); GSE62452:sig(q=1.271e-01)	NA	EXTERNALLY_REPLICATED_HOST_FEATURE	EXTERNALLY_REPLICATED_HOST_FEATURE	Externally replicated. Supported in 2 cohorts out of 3 eligible cohorts.
OTX2	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.0070; GSE71729:-0.0255; GSE62452:-0.0350	TCGA_PAAD:[-0.0616, 0.0476]; GSE71729:[-0.1236, 0.0727]; GSE62452:[-0.1415, 0.0715]	TCGA_PAAD:non-sig(q=8.455e-01); GSE71729:non-sig(q=6.524e-01); GSE62452:non-sig(q=6.184e-01)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Consistent direction only (non-significant) across 3 eligible cohorts.
SIX5	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0720; GSE71729:0.0226; GSE62452:0.0067	TCGA_PAAD:[0.0083, 0.1358]; GSE71729:[-0.0289, 0.0740]; GSE62452:[-0.0637, 0.0771]	TCGA_PAAD:sig(q=1.063e-01); GSE71729:non-sig(q=4.476e-01); GSE62452:non-sig(q=8.648e-01)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Supported in 1 cohort (TCGA_PAAD) out of 3 eligible cohorts.
SNAI2	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.0449; GSE71729:-0.1936; GSE62452:-0.1255	TCGA_PAAD:[-0.1182, 0.0284]; GSE71729:[-0.2966, -0.0906]; GSE62452:[-0.2132, -0.0379]	TCGA_PAAD:non-sig(q=4.486e-01); GSE71729:sig(q=2.989e-03); GSE62452:sig(q=5.237e-02)	NA	EXTERNALLY_REPLICATED_HOST_FEATURE	EXTERNALLY_REPLICATED_HOST_FEATURE	Externally replicated. Supported in 2 cohorts out of 3 eligible cohorts.
SNAPC4	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0881; GSE71729:0.0376; GSE62452:0.0463	TCGA_PAAD:[0.0317, 0.1445]; GSE71729:[-0.0239, 0.0991]; GSE62452:[-0.0190, 0.1117]	TCGA_PAAD:sig(q=5.115e-02); GSE71729:non-sig(q=2.863e-01); GSE62452:non-sig(q=2.707e-01)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Supported in 1 cohort (TCGA_PAAD) out of 3 eligible cohorts.
STAT1	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.0486; GSE71729:0.1647; GSE62452:0.0296	TCGA_PAAD:[-0.1716, 0.0743]; GSE71729:[0.0229, 0.3065]; GSE62452:[-0.1577, 0.2169]	TCGA_PAAD:non-sig(q=5.830e-01); GSE71729:non-sig(q=5.065e-02); GSE62452:non-sig(q=8.358e-01)	NA	NOT_REPLICATED	NOT_REPLICATED	Fails replication. Supported in 0 cohorts, and direction is inconsistent (opposite in 2 cohorts).
TEAD4	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.0356; GSE71729:0.0936; GSE62452:0.0545	TCGA_PAAD:[-0.1180, 0.0468]; GSE71729:[-0.0007, 0.1880]; GSE62452:[-0.0191, 0.1281]	TCGA_PAAD:non-sig(q=5.830e-01); GSE71729:non-sig(q=8.596e-02); GSE62452:non-sig(q=2.572e-01)	NA	NOT_REPLICATED	NOT_REPLICATED	Fails replication. Supported in 0 cohorts, and direction is inconsistent (opposite in 1 cohorts).
TFAP4	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0352; GSE71729:0.0767; GSE62452:0.0748	TCGA_PAAD:[-0.0113, 0.0816]; GSE71729:[0.0055, 0.1479]; GSE62452:[0.0036, 0.1461]	TCGA_PAAD:non-sig(q=2.963e-01); GSE71729:sig(q=6.876e-02); GSE62452:sig(q=1.733e-01)	NA	EXTERNALLY_REPLICATED_HOST_FEATURE	EXTERNALLY_REPLICATED_HOST_FEATURE	Externally replicated. Supported in 2 cohorts out of 3 eligible cohorts.
TP63	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.0524; GSE71729:0.1881; GSE62452:0.1046	TCGA_PAAD:[-0.1138, 0.0090]; GSE71729:[0.1219, 0.2542]; GSE62452:[0.0358, 0.1734]	TCGA_PAAD:non-sig(q=2.280e-01); GSE71729:sig(q=3.847e-06); GSE62452:sig(q=4.260e-02)	NA	EXTERNALLY_REPLICATED_HOST_FEATURE	EXTERNALLY_REPLICATED_HOST_FEATURE	Externally replicated. Supported in 2 cohorts out of 3 eligible cohorts. Note: opposite direction in TCGA_PAAD.
TWIST1	TCGA_PAAD, GSE71729	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000)	TCGA_PAAD:positive; GSE71729:negative	TCGA_PAAD:0.0061; GSE71729:-0.0236	TCGA_PAAD:[-0.0375, 0.0498]; GSE71729:[-0.0871, 0.0398]	TCGA_PAAD:non-sig(q=8.455e-01); GSE71729:non-sig(q=5.145e-01)	NA	NOT_REPLICATED	NOT_REPLICATED	Fails replication. Supported in 0 cohorts, and direction is inconsistent (opposite in 1 cohorts).
ZBED1	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0000; GSE71729:0.0663; GSE62452:0.0190	TCGA_PAAD:[-0.0228, 0.0228]; GSE71729:[0.0306, 0.1019]; GSE62452:[-0.0191, 0.0571]	TCGA_PAAD:non-sig(q=9.995e-01); GSE71729:sig(q=2.989e-03); GSE62452:non-sig(q=4.609e-01)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Supported in 1 cohort (GSE71729) out of 3 eligible cohorts.
ZBTB11	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:positive; GSE62452:positive	TCGA_PAAD:-0.0398; GSE71729:0.0707; GSE62452:0.0436	TCGA_PAAD:[-0.0837, 0.0041]; GSE71729:[0.0034, 0.1381]; GSE62452:[-0.0359, 0.1230]	TCGA_PAAD:non-sig(q=2.030e-01); GSE71729:non-sig(q=7.365e-02); GSE62452:non-sig(q=4.164e-01)	NA	NOT_REPLICATED	NOT_REPLICATED	Fails replication. Supported in 0 cohorts, and direction is inconsistent (opposite in 2 cohorts).
ZBTB7A	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:negative; GSE71729:negative; GSE62452:negative	TCGA_PAAD:-0.1058; GSE71729:-0.1729; GSE62452:-0.0727	TCGA_PAAD:[-0.2087, -0.0030]; GSE71729:[-0.2937, -0.0520]; GSE62452:[-0.1819, 0.0364]	TCGA_PAAD:sig(q=1.424e-01); GSE71729:sig(q=2.046e-02); GSE62452:non-sig(q=2.984e-01)	NA	EXTERNALLY_REPLICATED_HOST_FEATURE	EXTERNALLY_REPLICATED_HOST_FEATURE	Externally replicated. Supported in 2 cohorts out of 3 eligible cohorts.
ZNF24	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:negative	TCGA_PAAD:0.0045; GSE71729:-0.1150; GSE62452:-0.0895	TCGA_PAAD:[-0.0340, 0.0430]; GSE71729:[-0.1737, -0.0563]; GSE62452:[-0.1458, -0.0331]	TCGA_PAAD:non-sig(q=8.455e-01); GSE71729:sig(q=2.931e-03); GSE62452:sig(q=4.260e-02)	NA	EXTERNALLY_REPLICATED_HOST_FEATURE	EXTERNALLY_REPLICATED_HOST_FEATURE	Externally replicated. Supported in 2 cohorts out of 3 eligible cohorts. Note: opposite direction in TCGA_PAAD.
ZNF384	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0130; GSE71729:0.1037; GSE62452:0.0564	TCGA_PAAD:[-0.0538, 0.0797]; GSE71729:[0.0246, 0.1827]; GSE62452:[-0.0146, 0.1275]	TCGA_PAAD:non-sig(q=8.455e-01); GSE71729:sig(q=3.112e-02); GSE62452:non-sig(q=2.572e-01)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Supported in 1 cohort (GSE71729) out of 3 eligible cohorts.
ZNF639	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE71729:negative; GSE62452:negative	TCGA_PAAD:0.0273; GSE71729:-0.0360; GSE62452:-0.0068	TCGA_PAAD:[-0.0178, 0.0724]; GSE71729:[-0.1045, 0.0324]; GSE62452:[-0.0553, 0.0418]	TCGA_PAAD:non-sig(q=4.486e-01); GSE71729:non-sig(q=3.599e-01); GSE62452:non-sig(q=8.381e-01)	NA	NOT_REPLICATED	NOT_REPLICATED	Fails replication. Supported in 0 cohorts, and direction is inconsistent (opposite in 2 cohorts).
ZNF740	TCGA_PAAD, GSE71729, GSE62452	TCGA_PAAD:1/1(1.000); GSE71729:1/1(1.000); GSE62452:1/1(1.000)	TCGA_PAAD:positive; GSE71729:positive; GSE62452:positive	TCGA_PAAD:0.0360; GSE71729:0.0757; GSE62452:0.0126	TCGA_PAAD:[-0.0067, 0.0787]; GSE71729:[0.0011, 0.1504]; GSE62452:[-0.0454, 0.0706]	TCGA_PAAD:non-sig(q=2.280e-01); GSE71729:sig(q=8.214e-02); GSE62452:non-sig(q=7.682e-01)	NA	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Partially replicated. Supported in 1 cohort (GSE71729) out of 3 eligible cohorts.
MEblack	TCGA_PAAD	TCGA_PAAD:258/270(0.956)	TCGA_PAAD:positive	TCGA_PAAD:0.0091	TCGA_PAAD:[0.0056, 0.0126]	TCGA_PAAD:sig(q=2.415e-06)	Yes	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Replicated in TCGA_PAAD only; GSE71729 and GSE62452 failed 80% coverage and were excluded.
MEblue	TCGA_PAAD	TCGA_PAAD:1607/1691(0.950)	TCGA_PAAD:positive	TCGA_PAAD:0.0115	TCGA_PAAD:[0.0078, 0.0152]	TCGA_PAAD:sig(q=2.110e-08)	Yes	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Replicated in TCGA_PAAD only; GSE71729 and GSE62452 failed 80% coverage and were excluded.
MEgreen	TCGA_PAAD	TCGA_PAAD:506/515(0.983)	TCGA_PAAD:negative	TCGA_PAAD:-0.0247	TCGA_PAAD:[-0.0298, -0.0195]	TCGA_PAAD:sig(q=2.100e-16)	Yes	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Replicated in TCGA_PAAD only; GSE71729 and GSE62452 failed 80% coverage and were excluded.
MEred	TCGA_PAAD	TCGA_PAAD:342/354(0.966)	TCGA_PAAD:positive	TCGA_PAAD:0.0002	TCGA_PAAD:[-0.0058, 0.0063]	TCGA_PAAD:non-sig(q=9.383e-01)	No	NOT_REPLICATED	NOT_REPLICATED	Fails replication in TCGA_PAAD; GSE71729 and GSE62452 failed 80% coverage and were excluded.
MEtan	TCGA_PAAD	TCGA_PAAD:103/103(1.000)	TCGA_PAAD:negative	TCGA_PAAD:-0.0112	TCGA_PAAD:[-0.0166, -0.0059]	TCGA_PAAD:sig(q=9.813e-05)	Yes	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Replicated in TCGA_PAAD only; GSE71729 and GSE62452 failed 80% coverage and were excluded.
MEgreenyellow	TCGA_PAAD	TCGA_PAAD:156/166(0.940)	TCGA_PAAD:positive	TCGA_PAAD:0.0034	TCGA_PAAD:[-0.0008, 0.0077]	TCGA_PAAD:non-sig(q=1.628e-01)	Yes	PARTIALLY_REPLICATED_HOST_FEATURE	PARTIALLY_REPLICATED_HOST_FEATURE	Direction-only support in TCGA_PAAD; GSE71729 and GSE62452 failed 80% coverage and were excluded.
