analysis_id	taxon	taxon_evidence_category	host_feature_layer	host_feature_collection	input_expression_matrix	microbiome_representation	model	covariates	robust_SE	multiple_testing_family	sensitivity_analyses	random_seed	analysis_role	status	notes
HM_11_WGCNA	Candida	ROBUST_ASSOCIATION	Layer 4	WGCNA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Candida	module_eigengene ~ standardized_CLR_genus	None	HC3	WGCNA_Modules_Candida	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked co-expression network association (unsupervised module definition) for Candida.
HM_12_HostGenes	Candida	ROBUST_ASSOCIATION	Layer 5	Taxon-associated genes	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Candida	host_gene ~ standardized_CLR_genus	None	HC3	Host_Genes_Candida	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Genome-wide exploratory linear modeling for Candida (42,654 genes).
HM_13_Hallmark	Ensifer	ROBUST_ASSOCIATION	Layer 1	MSigDB Hallmark	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Ensifer	host_activity ~ standardized_CLR_genus	None	HC3	MSigDB_Hallmark_Ensifer	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked Hallmark enrichment (50 pathways) for Ensifer.
HM_14_PROGENy	Ensifer	ROBUST_ASSOCIATION	Layer 1	PROGENy	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Ensifer	host_activity ~ standardized_CLR_genus	None	HC3	PROGENy_Ensifer	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked PROGENy activities (14 pathways) for Ensifer.
HM_15_DoRothEA	Ensifer	ROBUST_ASSOCIATION	Layer 2	DoRothEA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Ensifer	host_activity ~ standardized_CLR_genus	None	HC3	DoRothEA_TF_Ensifer	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked DoRothEA regulon activities (confidence levels A/B/C) for Ensifer.
HM_16_TME	Ensifer	ROBUST_ASSOCIATION	Layer 3	ESTIMATE	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Ensifer	host_activity ~ standardized_CLR_genus	None	HC3	ESTIMATE_TME_Ensifer	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked host TME association (Stromal/Immune/ESTIMATE/Purity) for Ensifer.
HM_17_WGCNA	Ensifer	ROBUST_ASSOCIATION	Layer 4	WGCNA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Ensifer	module_eigengene ~ standardized_CLR_genus	None	HC3	WGCNA_Modules_Ensifer	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked co-expression network association (unsupervised module definition) for Ensifer.
HM_18_HostGenes	Ensifer	ROBUST_ASSOCIATION	Layer 5	Taxon-associated genes	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Ensifer	host_gene ~ standardized_CLR_genus	None	HC3	Host_Genes_Ensifer	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Genome-wide exploratory linear modeling for Ensifer (42,654 genes).
HM_19_Hallmark	Cutibacterium	ROBUST_ASSOCIATION	Layer 1	MSigDB Hallmark	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Cutibacterium	host_activity ~ standardized_CLR_genus	None	HC3	MSigDB_Hallmark_Cutibacterium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked Hallmark enrichment (50 pathways) for Cutibacterium.
HM_20_PROGENy	Cutibacterium	ROBUST_ASSOCIATION	Layer 1	PROGENy	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Cutibacterium	host_activity ~ standardized_CLR_genus	None	HC3	PROGENy_Cutibacterium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked PROGENy activities (14 pathways) for Cutibacterium.
HM_21_DoRothEA	Cutibacterium	ROBUST_ASSOCIATION	Layer 2	DoRothEA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Cutibacterium	host_activity ~ standardized_CLR_genus	None	HC3	DoRothEA_TF_Cutibacterium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked DoRothEA regulon activities (confidence levels A/B/C) for Cutibacterium.
HM_22_TME	Cutibacterium	ROBUST_ASSOCIATION	Layer 3	ESTIMATE	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Cutibacterium	host_activity ~ standardized_CLR_genus	None	HC3	ESTIMATE_TME_Cutibacterium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked host TME association (Stromal/Immune/ESTIMATE/Purity) for Cutibacterium.
HM_23_WGCNA	Cutibacterium	ROBUST_ASSOCIATION	Layer 4	WGCNA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Cutibacterium	module_eigengene ~ standardized_CLR_genus	None	HC3	WGCNA_Modules_Cutibacterium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked co-expression network association (unsupervised module definition) for Cutibacterium.
HM_24_HostGenes	Cutibacterium	ROBUST_ASSOCIATION	Layer 5	Taxon-associated genes	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Cutibacterium	host_gene ~ standardized_CLR_genus	None	HC3	Host_Genes_Cutibacterium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Genome-wide exploratory linear modeling for Cutibacterium (42,654 genes).
HM_25_Hallmark	Chryseobacterium	ROBUST_ASSOCIATION	Layer 1	MSigDB Hallmark	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Chryseobacterium	host_activity ~ standardized_CLR_genus	None	HC3	MSigDB_Hallmark_Chryseobacterium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked Hallmark enrichment (50 pathways) for Chryseobacterium.
HM_26_PROGENy	Chryseobacterium	ROBUST_ASSOCIATION	Layer 1	PROGENy	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Chryseobacterium	host_activity ~ standardized_CLR_genus	None	HC3	PROGENy_Chryseobacterium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked PROGENy activities (14 pathways) for Chryseobacterium.
HM_27_DoRothEA	Chryseobacterium	ROBUST_ASSOCIATION	Layer 2	DoRothEA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Chryseobacterium	host_activity ~ standardized_CLR_genus	None	HC3	DoRothEA_TF_Chryseobacterium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked DoRothEA regulon activities (confidence levels A/B/C) for Chryseobacterium.
HM_28_TME	Chryseobacterium	ROBUST_ASSOCIATION	Layer 3	ESTIMATE	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Chryseobacterium	host_activity ~ standardized_CLR_genus	None	HC3	ESTIMATE_TME_Chryseobacterium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked host TME association (Stromal/Immune/ESTIMATE/Purity) for Chryseobacterium.
HM_29_WGCNA	Chryseobacterium	ROBUST_ASSOCIATION	Layer 4	WGCNA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Chryseobacterium	module_eigengene ~ standardized_CLR_genus	None	HC3	WGCNA_Modules_Chryseobacterium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked co-expression network association (unsupervised module definition) for Chryseobacterium.
HM_30_HostGenes	Chryseobacterium	ROBUST_ASSOCIATION	Layer 5	Taxon-associated genes	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Chryseobacterium	host_gene ~ standardized_CLR_genus	None	HC3	Host_Genes_Chryseobacterium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Genome-wide exploratory linear modeling for Chryseobacterium (42,654 genes).
HM_31_Hallmark	Ochrobactrum	ROBUST_ASSOCIATION	Layer 1	MSigDB Hallmark	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Ochrobactrum	host_activity ~ standardized_CLR_genus	None	HC3	MSigDB_Hallmark_Ochrobactrum	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked Hallmark enrichment (50 pathways) for Ochrobactrum.
HM_32_PROGENy	Ochrobactrum	ROBUST_ASSOCIATION	Layer 1	PROGENy	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Ochrobactrum	host_activity ~ standardized_CLR_genus	None	HC3	PROGENy_Ochrobactrum	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked PROGENy activities (14 pathways) for Ochrobactrum.
HM_33_DoRothEA	Ochrobactrum	ROBUST_ASSOCIATION	Layer 2	DoRothEA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Ochrobactrum	host_activity ~ standardized_CLR_genus	None	HC3	DoRothEA_TF_Ochrobactrum	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked DoRothEA regulon activities (confidence levels A/B/C) for Ochrobactrum.
HM_34_TME	Ochrobactrum	ROBUST_ASSOCIATION	Layer 3	ESTIMATE	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Ochrobactrum	host_activity ~ standardized_CLR_genus	None	HC3	ESTIMATE_TME_Ochrobactrum	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked host TME association (Stromal/Immune/ESTIMATE/Purity) for Ochrobactrum.
HM_35_WGCNA	Ochrobactrum	ROBUST_ASSOCIATION	Layer 4	WGCNA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Ochrobactrum	module_eigengene ~ standardized_CLR_genus	None	HC3	WGCNA_Modules_Ochrobactrum	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked co-expression network association (unsupervised module definition) for Ochrobactrum.
HM_36_HostGenes	Ochrobactrum	ROBUST_ASSOCIATION	Layer 5	Taxon-associated genes	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Ochrobactrum	host_gene ~ standardized_CLR_genus	None	HC3	Host_Genes_Ochrobactrum	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Genome-wide exploratory linear modeling for Ochrobactrum (42,654 genes).
HM_37_Hallmark	Burkholderia	ROBUST_ASSOCIATION	Layer 1	MSigDB Hallmark	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Burkholderia	host_activity ~ standardized_CLR_genus	None	HC3	MSigDB_Hallmark_Burkholderia	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked Hallmark enrichment (50 pathways) for Burkholderia.
HM_38_PROGENy	Burkholderia	ROBUST_ASSOCIATION	Layer 1	PROGENy	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Burkholderia	host_activity ~ standardized_CLR_genus	None	HC3	PROGENy_Burkholderia	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked PROGENy activities (14 pathways) for Burkholderia.
HM_39_DoRothEA	Burkholderia	ROBUST_ASSOCIATION	Layer 2	DoRothEA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Burkholderia	host_activity ~ standardized_CLR_genus	None	HC3	DoRothEA_TF_Burkholderia	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked DoRothEA regulon activities (confidence levels A/B/C) for Burkholderia.
HM_40_TME	Burkholderia	ROBUST_ASSOCIATION	Layer 3	ESTIMATE	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Burkholderia	host_activity ~ standardized_CLR_genus	None	HC3	ESTIMATE_TME_Burkholderia	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked host TME association (Stromal/Immune/ESTIMATE/Purity) for Burkholderia.
HM_41_WGCNA	Burkholderia	ROBUST_ASSOCIATION	Layer 4	WGCNA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Burkholderia	module_eigengene ~ standardized_CLR_genus	None	HC3	WGCNA_Modules_Burkholderia	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked co-expression network association (unsupervised module definition) for Burkholderia.
HM_42_HostGenes	Burkholderia	ROBUST_ASSOCIATION	Layer 5	Taxon-associated genes	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Burkholderia	host_gene ~ standardized_CLR_genus	None	HC3	Host_Genes_Burkholderia	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Genome-wide exploratory linear modeling for Burkholderia (42,654 genes).
HM_43_Hallmark	Rhizobium	ROBUST_ASSOCIATION	Layer 1	MSigDB Hallmark	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Rhizobium	host_activity ~ standardized_CLR_genus	None	HC3	MSigDB_Hallmark_Rhizobium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked Hallmark enrichment (50 pathways) for Rhizobium.
HM_44_PROGENy	Rhizobium	ROBUST_ASSOCIATION	Layer 1	PROGENy	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Rhizobium	host_activity ~ standardized_CLR_genus	None	HC3	PROGENy_Rhizobium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked PROGENy activities (14 pathways) for Rhizobium.
HM_45_DoRothEA	Rhizobium	ROBUST_ASSOCIATION	Layer 2	DoRothEA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Rhizobium	host_activity ~ standardized_CLR_genus	None	HC3	DoRothEA_TF_Rhizobium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked DoRothEA regulon activities (confidence levels A/B/C) for Rhizobium.
HM_46_TME	Rhizobium	ROBUST_ASSOCIATION	Layer 3	ESTIMATE	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Rhizobium	host_activity ~ standardized_CLR_genus	None	HC3	ESTIMATE_TME_Rhizobium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked host TME association (Stromal/Immune/ESTIMATE/Purity) for Rhizobium.
HM_47_WGCNA	Rhizobium	ROBUST_ASSOCIATION	Layer 4	WGCNA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Rhizobium	module_eigengene ~ standardized_CLR_genus	None	HC3	WGCNA_Modules_Rhizobium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked co-expression network association (unsupervised module definition) for Rhizobium.
HM_48_HostGenes	Rhizobium	ROBUST_ASSOCIATION	Layer 5	Taxon-associated genes	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Rhizobium	host_gene ~ standardized_CLR_genus	None	HC3	Host_Genes_Rhizobium	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Genome-wide exploratory linear modeling for Rhizobium (42,654 genes).
HM_49_Hallmark	Herbaspirillum	ROBUST_ASSOCIATION	Layer 1	MSigDB Hallmark	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Herbaspirillum	host_activity ~ standardized_CLR_genus	None	HC3	MSigDB_Hallmark_Herbaspirillum	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked Hallmark enrichment (50 pathways) for Herbaspirillum.
HM_50_PROGENy	Herbaspirillum	ROBUST_ASSOCIATION	Layer 1	PROGENy	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Herbaspirillum	host_activity ~ standardized_CLR_genus	None	HC3	PROGENy_Herbaspirillum	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked PROGENy activities (14 pathways) for Herbaspirillum.
HM_51_DoRothEA	Herbaspirillum	ROBUST_ASSOCIATION	Layer 2	DoRothEA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Herbaspirillum	host_activity ~ standardized_CLR_genus	None	HC3	DoRothEA_TF_Herbaspirillum	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked DoRothEA regulon activities (confidence levels A/B/C) for Herbaspirillum.
HM_52_TME	Herbaspirillum	ROBUST_ASSOCIATION	Layer 3	ESTIMATE	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Herbaspirillum	host_activity ~ standardized_CLR_genus	None	HC3	ESTIMATE_TME_Herbaspirillum	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked host TME association (Stromal/Immune/ESTIMATE/Purity) for Herbaspirillum.
HM_53_WGCNA	Herbaspirillum	ROBUST_ASSOCIATION	Layer 4	WGCNA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Herbaspirillum	module_eigengene ~ standardized_CLR_genus	None	HC3	WGCNA_Modules_Herbaspirillum	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	primary	LOCKED_PENDING_EXECUTION	Locked co-expression network association (unsupervised module definition) for Herbaspirillum.
HM_54_HostGenes	Herbaspirillum	ROBUST_ASSOCIATION	Layer 5	Taxon-associated genes	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Herbaspirillum	host_gene ~ standardized_CLR_genus	None	HC3	Host_Genes_Herbaspirillum	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Genome-wide exploratory linear modeling for Herbaspirillum (42,654 genes).
HM_55_Hallmark	Staphylococcus	SUGGESTIVE_ASSOCIATION	Layer 1	MSigDB Hallmark	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Staphylococcus	host_activity ~ standardized_CLR_genus	None	HC3	MSigDB_Hallmark_Staphylococcus	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Locked Hallmark enrichment (50 pathways) for Staphylococcus.
HM_56_PROGENy	Staphylococcus	SUGGESTIVE_ASSOCIATION	Layer 1	PROGENy	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Staphylococcus	host_activity ~ standardized_CLR_genus	None	HC3	PROGENy_Staphylococcus	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Locked PROGENy activities (14 pathways) for Staphylococcus.
HM_57_DoRothEA	Staphylococcus	SUGGESTIVE_ASSOCIATION	Layer 2	DoRothEA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Staphylococcus	host_activity ~ standardized_CLR_genus	None	HC3	DoRothEA_TF_Staphylococcus	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Locked DoRothEA regulon activities (confidence levels A/B/C) for Staphylococcus.
HM_58_TME	Staphylococcus	SUGGESTIVE_ASSOCIATION	Layer 3	ESTIMATE	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Staphylococcus	host_activity ~ standardized_CLR_genus	None	HC3	ESTIMATE_TME_Staphylococcus	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Locked host TME association (Stromal/Immune/ESTIMATE/Purity) for Staphylococcus.
HM_59_WGCNA	Staphylococcus	SUGGESTIVE_ASSOCIATION	Layer 4	WGCNA	03_processed/expression/GSE172356_expression_log2_analysis_ready.tsv.gz	standardized_CLR_Staphylococcus	module_eigengene ~ standardized_CLR_genus	None	HC3	WGCNA_Modules_Staphylococcus	purity, immune, stromal, rCLR, extreme_samples_excl, contaminant_excl, LOO	2026	exploratory	LOCKED_PENDING_EXECUTION	Locked co-expression network association (unsupervised module definition) for Staphylococcus.
