file_id	dataset	sample_id	data_type	local_path	source_url_or_accession	file_size	md5	download_date	processing_status	notes	checksum	size_bytes	phase	layer	file_path	description	category	file_format	md5_checksum
external_validation_dataset_inventory	PDAC_Phase9_validation		metadata_inventory	~/thesis/PDAC/01_metadata/external_validation_dataset_inventory.tsv	derived_from_public_literature_and_database_search	8539.0	sha256:3b1e6e6940f4d57214ddc42eb284367f129f127c15087863af3ff4167d00a109	2026-07-02	generated_Phase9A	Inventory of 12 candidate external bulk, single-cell, spatial, and microbiome datasets.									
external_validation_parameter_inventory	PDAC_Phase9_validation		parameter_inventory	~/thesis/PDAC/01_metadata/external_validation_parameter_inventory.tsv	derived_from_locked_validation_framework	8829.0	sha256:466aec70edf3caa3d0fd52a354ab220eb78a84e37d37c91f69865c11a0a967f5	2026-07-02	generated_Phase9A	Locked parameter specifications for 10 bulk, single-cell, spatial, and microbiome validation runs.									
phase9a_external_dataset_shortlist	PDAC_Phase9_validation		results_table	~/thesis/PDAC/05_results/tables/phase9a_external_dataset_shortlist.tsv	derived_from_dataset_inventory	5029.0	sha256:a6158625c57c3984c83218da62ca7244280807a3199a76d792588378ffc0b61c	2026-07-02	generated_Phase9A	Shortlist of 7 PRIORITY_1 datasets for Phase 9B validation.									
phase9a_signature_external_coverage_feasibility	PDAC_Phase9_validation		results_table	~/thesis/PDAC/05_results/tables/phase9a_signature_external_coverage_feasibility.tsv	derived_from_expression_manifest_and_external_platforms	2226.0	sha256:1f0089d5cb07a0d036c87890b84db227d9c3be7be875e7cfb40489b82357fc38	2026-07-02	generated_Phase9A	Coverage feasibility checks for Moffitt50, Hallmark pathways, and WGCNA module signatures in external cohorts.									
phase9a_external_analysis_resource_estimate	PDAC_Phase9_validation		results_table	~/thesis/PDAC/05_results/tables/phase9a_external_analysis_resource_estimate.tsv	derived_from_shortlist_sizes_and_requirements	2050.0	sha256:57a0a610436cac0756406b4467751f01fa037eb6db14f9f0c786943c5ad45c78	2026-07-02	generated_Phase9A	Estimated download sizes, software, memory, and runtime resource estimates for Phase 9B execution.									
phase9_external_validation_sources	PDAC_Phase9_validation		reference_bibliography	~/thesis/PDAC/09_docs/references/phase9_external_validation_sources.bib	derived_from_citation_management	5110.0	sha256:963fb1cbf324f4f9b2bb83e96dbef411697e70d48f21431c59b595b48b586be4	2026-07-02	generated_Phase9A	BibTeX bibliography of 12 external validation papers and datasets.									
phase9_external_validation_source_audit	PDAC_Phase9_validation		reference_audit	~/thesis/PDAC/09_docs/references/phase9_external_validation_source_audit.tsv	derived_from_citation_management	4020.0	sha256:cfff78cbaeca5653c75b9f36921aadb4d54cd080e188e1f8dcde9bb7e7b7a925	2026-07-02	generated_Phase9A	Audit table containing title, authors, year, journal, DOI, PMID, and accession verification for all sources.									
PHASE9A_EXTERNAL_VALIDATION_METHOD_LOCK	PDAC_Phase9_validation		analysis_report	~/thesis/PDAC/04_analysis/09_external_validation/PHASE9A_EXTERNAL_VALIDATION_METHOD_LOCK.md	derived_from_planning	13113.0	sha256:da540eb16382f2bf6ab6eb1a0926b8c943b32cec08ec4378f0d326da4e00f54e	2026-07-02	generated_Phase9A	Prospective method lock document for Phase 9B external validation.									
PDAC_external_validation_protocol	PDAC_Phase9_validation		method_protocol	~/thesis/PDAC/09_docs/methods/PDAC_external_validation_protocol.md	derived_from_planning	7573.0	sha256:87d65320ca23d7dc8da8637cc6ffc10cef85ccf372f9e65ed960bc91a63edfb3	2026-07-02	generated_Phase9A	Standard operating protocol and step-by-step replication guide for Phase 9B execution.									
F-001													10C2		04_analysis/10_target_prioritization/PHASE10C2_CORRECTED_TARGET_PRIORITIZATION_INDEPENDENT_REVIEW.md	Phase 10C2 Independent Review Output	analysis_report	markdown	7bf0e2deaa7b605013c3805b92f9a38d
F-002													10C2		05_results/tables/phase10c2_scoring_rule_audit.tsv	Phase 10C2 Independent Review Output	review_audit	tsv	9cc4ceb79cb0fd1533bc92166291de7f
F-003													10C2		05_results/tables/phase10c2_candidate_inclusion_audit.tsv	Phase 10C2 Independent Review Output	review_audit	tsv	48a5006eee28a67ed7efc315f96f3c3f
F-004													10C2		05_results/tables/phase10c2_external_database_audit.tsv	Phase 10C2 Independent Review Output	review_audit	tsv	204cf7a188dfa54e427e292e25c6820e
F-005													10C2		05_results/tables/phase10c2_penalty_application_audit.tsv	Phase 10C2 Independent Review Output	review_audit	tsv	b0f9fee8fc79401d01a4a2abc17f6878
F-006													10C2		05_results/tables/phase10c2_rank_reproduction_audit.tsv	Phase 10C2 Independent Review Output	review_audit	tsv	55494630c86271cf42dc750bd189b002
F-007													10C2		05_results/tables/phase10c2_review_findings.tsv	Phase 10C2 Independent Review Output	review_audit	tsv	7f728d29150c1bea5849bdb0d2908d3c
04_analysis/11_manuscript/PHASE11A_MANUSCRIPT_CLAIM_MAP.md	Phase 11A
04_analysis/11_manuscript/PHASE11A_MANUSCRIPT_OUTLINE.md	Phase 11A
05_results/tables/phase11a_claim_evidence_map.tsv	Phase 11A
05_results/tables/phase11a_figure_table_plan.tsv	Phase 11A
05_results/tables/phase11a_prohibited_claims.tsv	Phase 11A
phase11b_manuscript_draft	Phase11B		manuscript_draft	~/thesis/PDAC/04_analysis/11_manuscript/PHASE11B_MANUSCRIPT_DRAFT.md	manual_revision_pass_approved	20308	580dd8169e98e2e9b0a3d1d67221dbf5	2026-07-04	verified_Phase11B	PASS-approved manual revision preserved; no Phase 11B body rewrite.			Phase 11B	manuscript	04_analysis/11_manuscript/PHASE11B_MANUSCRIPT_DRAFT.md	PASS-approved Phase 11B manuscript draft	manuscript_draft	markdown	580dd8169e98e2e9b0a3d1d67221dbf5
phase11b_claim_to_text_trace	Phase11B		claim_trace	~/thesis/PDAC/05_results/tables/phase11b_claim_to_text_trace.tsv	derived_from_phase11a_claim_evidence_map	8680	858bc5e94178375f1c633352c54e80cd	2026-07-04	generated_Phase11B	Maps major manuscript claims to text, evidence category, allowed wording, prohibited overstatement, and compliance status.			Phase 11B	manuscript_trace	05_results/tables/phase11b_claim_to_text_trace.tsv	Phase 11B claim-to-text traceability table	claim_trace	tsv	858bc5e94178375f1c633352c54e80cd
phase11b_manuscript_validator	Phase11B		validation_script	~/thesis/PDAC/06_scripts/python/19_validate_phase11b_manuscript_draft.py	derived_from_phase11a_guardrails	11228	e9a4e791f9030a6729d5ff373d412518	2026-07-04	generated_Phase11B	Validates Phase 11B manuscript guardrails and traceability before independent review.			Phase 11B	validation	06_scripts/python/19_validate_phase11b_manuscript_draft.py	Phase 11B manuscript draft validator	python_script	python	e9a4e791f9030a6729d5ff373d412518
phase11c_review_report	Phase11C		report	~/thesis/PDAC/04_analysis/11_manuscript/PHASE11C_MANUSCRIPT_INDEPENDENT_REVIEW.md	derived_from_phase11b			2026-07-04	generated_Phase11C	Phase 11C Independent Review Report			Phase 11C	review	04_analysis/11_manuscript/PHASE11C_MANUSCRIPT_INDEPENDENT_REVIEW.md	Phase 11C Independent Review Report	report	markdown	
phase11c_review_findings	Phase11C		findings	~/thesis/PDAC/05_results/tables/phase11c_manuscript_review_findings.tsv	derived_from_phase11b			2026-07-04	generated_Phase11C	Phase 11C Independent Review Findings			Phase 11C	review	05_results/tables/phase11c_manuscript_review_findings.tsv	Phase 11C Independent Review Findings	findings	tsv	
validate_phase11c_review	Phase11C		script	~/thesis/PDAC/06_scripts/python/19_validate_phase11c_manuscript_review.py	derived_from_phase11c			2026-07-04	generated_Phase11C	Phase 11C Validator Script			Phase 11C	review	06_scripts/python/19_validate_phase11c_manuscript_review.py	Phase 11C Validator Script	script	python	
phase11d_manuscript_draft	Phase11D		manuscript_draft	~/thesis/PDAC/04_analysis/11_manuscript/PHASE11D_FULL_MANUSCRIPT_DRAFT.md	derived_from_phase11b_and_11c	17461	1367ee4e80ff8ed3ba7cd12c1f412067	2026-07-04	generated_Phase11D	Phase 11D Full Manuscript Draft			Phase 11D	manuscript	04_analysis/11_manuscript/PHASE11D_FULL_MANUSCRIPT_DRAFT.md	Phase 11D Full Manuscript Draft	manuscript_draft	markdown	1367ee4e80ff8ed3ba7cd12c1f412067
phase11d_section_inventory	Phase11D		inventory	~/thesis/PDAC/05_results/tables/phase11d_manuscript_section_inventory.tsv	derived_from_phase11d	557	3c54939611a90076947533c6422ba3d3	2026-07-04	generated_Phase11D	Phase 11D Manuscript Section Inventory			Phase 11D	inventory	05_results/tables/phase11d_manuscript_section_inventory.tsv	Phase 11D Manuscript Section Inventory	inventory	tsv	3c54939611a90076947533c6422ba3d3
phase11d_figure_legend_inventory	Phase11D		inventory	~/thesis/PDAC/05_results/tables/phase11d_figure_legend_inventory.tsv	derived_from_phase11d	249	537c53b6a50c9a46eb6454d370e529ff	2026-07-04	generated_Phase11D	Phase 11D Figure Legend Inventory			Phase 11D	inventory	05_results/tables/phase11d_figure_legend_inventory.tsv	Phase 11D Figure Legend Inventory	inventory	tsv	537c53b6a50c9a46eb6454d370e529ff
phase11d_table_inventory	Phase11D		inventory	~/thesis/PDAC/05_results/tables/phase11d_supplementary_table_inventory.tsv	derived_from_phase11d	147	f6ff0b36e2914169444a4ac53271b12e	2026-07-04	generated_Phase11D	Phase 11D Supplementary Table Inventory			Phase 11D	inventory	05_results/tables/phase11d_supplementary_table_inventory.tsv	Phase 11D Supplementary Table Inventory	inventory	tsv	f6ff0b36e2914169444a4ac53271b12e
validate_phase11d_manuscript	Phase11D		script	~/thesis/PDAC/06_scripts/python/19_validate_phase11d_full_manuscript.py	derived_from_phase11d	3441	64f87c5e8f0d1cddc3c4d8fdf7c74ab7	2026-07-04	generated_Phase11D	Phase 11D Validator Script			Phase 11D	script	06_scripts/python/19_validate_phase11d_full_manuscript.py	Phase 11D Validator Script	script	python	64f87c5e8f0d1cddc3c4d8fdf7c74ab7
phase11e_manuscript_edited	Phase11E		manuscript_edited	~/thesis/PDAC/04_analysis/11_manuscript/PHASE11E_FULL_MANUSCRIPT_LANGUAGE_EDITED.md	derived_from_phase11d	19666	7845301908efbd33a44f77dd68e8b5b7	2026-07-04	generated_Phase11E	Phase 11E Language Edited Manuscript			Phase 11E	manuscript	04_analysis/11_manuscript/PHASE11E_FULL_MANUSCRIPT_LANGUAGE_EDITED.md	Phase 11E Language Edited Manuscript	manuscript_edited	markdown	7845301908efbd33a44f77dd68e8b5b7
phase11e_language_format_review	Phase11E		review_report	~/thesis/PDAC/04_analysis/11_manuscript/PHASE11E_LANGUAGE_FORMAT_REVIEW.md	derived_from_phase11d	3490	0736e8d1e432b88fb767c329804da93b	2026-07-04	generated_Phase11E	Phase 11E Language and Format Review Report			Phase 11E	report	04_analysis/11_manuscript/PHASE11E_LANGUAGE_FORMAT_REVIEW.md	Phase 11E Language and Format Review Report	review_report	markdown	0736e8d1e432b88fb767c329804da93b
phase11e_language_edit_log	Phase11E		edit_log	~/thesis/PDAC/05_results/tables/phase11e_language_edit_log.tsv	derived_from_phase11e_edits	2770	5becb5f6a167eedd98d9e8ee8556f1e5	2026-07-04	generated_Phase11E	Phase 11E Language Edit Log Table			Phase 11E	edit_log	05_results/tables/phase11e_language_edit_log.tsv	Phase 11E Language Edit Log Table	edit_log	tsv	5becb5f6a167eedd98d9e8ee8556f1e5
validate_phase11e_language_format	Phase11E		script	~/thesis/PDAC/06_scripts/python/19_validate_phase11e_language_format.py	derived_from_phase11e	3522	1bf50976343dd5175201dad813bb6e51	2026-07-04	generated_Phase11E	Phase 11E Language and Format Validator Script			Phase 11E	script	06_scripts/python/19_validate_phase11e_language_format.py	Phase 11E Language and Format Validator Script	script	python	1bf50976343dd5175201dad813bb6e51
phase11f_final_claim_audit	Phase11F		report	~/thesis/PDAC/04_analysis/11_manuscript/PHASE11F_FINAL_CLAIM_AUDIT.md	derived_from_phase11e			2026-07-04	generated_Phase11F	Phase 11F Final Claim Audit Report			Phase 11F	report	04_analysis/11_manuscript/PHASE11F_FINAL_CLAIM_AUDIT.md	Phase 11F Final Claim Audit Report	report	markdown	
phase11f_claim_audit	Phase11F		audit	~/thesis/PDAC/05_results/tables/phase11f_claim_audit.tsv	derived_from_phase11e			2026-07-04	generated_Phase11F	Phase 11F Claim Audit Table			Phase 11F	audit	05_results/tables/phase11f_claim_audit.tsv	Phase 11F Claim Audit Table	audit	tsv	
phase11f_prohibited_claim_scan	Phase11F		scan	~/thesis/PDAC/05_results/tables/phase11f_prohibited_claim_scan.tsv	derived_from_phase11e			2026-07-04	generated_Phase11F	Phase 11F Prohibited Claim Scan Table			Phase 11F	scan	05_results/tables/phase11f_prohibited_claim_scan.tsv	Phase 11F Prohibited Claim Scan Table	scan	tsv	
validate_phase11f_final_claim_audit	Phase11F		script	~/thesis/PDAC/06_scripts/python/19_validate_phase11f_final_claim_audit.py	derived_from_phase11f			2026-07-04	generated_Phase11F	Phase 11F Final Claim Audit Validator Script			Phase 11F	script	06_scripts/python/19_validate_phase11f_final_claim_audit.py	Phase 11F Final Claim Audit Validator Script	script	python	
phase11g_reference_submission_audit	Phase11G		report	~/thesis/PDAC/04_analysis/11_manuscript/PHASE11G_REFERENCE_SUBMISSION_AUDIT.md	derived_from_phase11f		0272670b31edddf8c155d6abe9a8f83a	2026-07-04	generated_Phase11G	Phase11G file		Phase11G	report	04_analysis/11_manuscript/PHASE11G_REFERENCE_SUBMISSION_AUDIT.md	Phase11G file	report	md	0272670b31edddf8c155d6abe9a8f83a
phase11gr1_reference_callout_repair	Phase11G-R1		report	~/thesis/PDAC/04_analysis/11_manuscript/PHASE11GR1_REFERENCE_CALLOUT_REPAIR.md	derived_from_phase11f		080b9a827c1b34a1643ca7e1b42b5521	2026-07-04	generated_Phase11G-R1	Phase11G-R1 file		Phase11G-R1	report	04_analysis/11_manuscript/PHASE11GR1_REFERENCE_CALLOUT_REPAIR.md	Phase11G-R1 file	report	md	080b9a827c1b34a1643ca7e1b42b5521
phase11gr2_reference_verification_audit	Phase11G-R2		report	~/thesis/PDAC/04_analysis/11_manuscript/PHASE11GR2_REFERENCE_VERIFICATION_AUDIT.md	derived_from_phase11f		106ae6aaa58ea32f8f468560620ccc22	2026-07-04	generated_Phase11G-R2	Phase11G-R2 file		Phase11G-R2	report	04_analysis/11_manuscript/PHASE11GR2_REFERENCE_VERIFICATION_AUDIT.md	Phase11G-R2 file	report	md	106ae6aaa58ea32f8f468560620ccc22
phase11gr3_reference_repair_report	Phase11G-R3		report	~/thesis/PDAC/04_analysis/11_manuscript/PHASE11GR3_REFERENCE_REPAIR.md	derived_from_phase11f		97548f17e6b8e5f3443f9dda5271be53	2026-07-04	generated_Phase11G-R3	Phase11G-R3 file		Phase11G-R3	report	04_analysis/11_manuscript/PHASE11GR3_REFERENCE_REPAIR.md	Phase11G-R3 file	report	md	97548f17e6b8e5f3443f9dda5271be53
phase11g_references	Phase11G		bib	~/thesis/PDAC/09_docs/references/phase11g_references.bib	derived_from_phase11f		4b30b809dfb354df6058ef539d272403	2026-07-04	generated_Phase11G	Phase11G file		Phase11G	bib	09_docs/references/phase11g_references.bib	Phase11G file	bib	bib	4b30b809dfb354df6058ef539d272403
phase11g_citation_audit	Phase11G		audit	~/thesis/PDAC/05_results/tables/phase11g_citation_audit.tsv	derived_from_phase11f		5c00837d3fb0b34239fe3bcf0ee91f65	2026-07-04	generated_Phase11G	Phase11G file		Phase11G	audit	05_results/tables/phase11g_citation_audit.tsv	Phase11G file	audit	tsv	5c00837d3fb0b34239fe3bcf0ee91f65
phase11g_figure_table_callout_audit	Phase11G		audit	~/thesis/PDAC/05_results/tables/phase11g_figure_table_callout_audit.tsv	derived_from_phase11f		7ecd33c9a84def0cc73ebcb3b9d10e21	2026-07-04	generated_Phase11G	Phase11G file		Phase11G	audit	05_results/tables/phase11g_figure_table_callout_audit.tsv	Phase11G file	audit	tsv	7ecd33c9a84def0cc73ebcb3b9d10e21
phase11g_submission_package_inventory	Phase11G		audit	~/thesis/PDAC/05_results/tables/phase11g_submission_package_inventory.tsv	derived_from_phase11f		0fb6fd6a8922a89702277e41823667df	2026-07-04	generated_Phase11G	Phase11G file		Phase11G	audit	05_results/tables/phase11g_submission_package_inventory.tsv	Phase11G file	audit	tsv	0fb6fd6a8922a89702277e41823667df
phase11gr1_reference_mapping	Phase11G-R1		audit	~/thesis/PDAC/05_results/tables/phase11gr1_reference_mapping.tsv	derived_from_phase11f		46d3bfa300c088f02fa6011e70507e9f	2026-07-04	generated_Phase11G-R1	Phase11G-R1 file		Phase11G-R1	audit	05_results/tables/phase11gr1_reference_mapping.tsv	Phase11G-R1 file	audit	tsv	46d3bfa300c088f02fa6011e70507e9f
phase11gr2_reference_verification	Phase11G-R2		audit	~/thesis/PDAC/05_results/tables/phase11gr2_reference_verification.tsv	derived_from_phase11f		f4a23fe604d969509fb6de3397f4792c	2026-07-04	generated_Phase11G-R2	Phase11G-R2 file		Phase11G-R2	audit	05_results/tables/phase11gr2_reference_verification.tsv	Phase11G-R2 file	audit	tsv	f4a23fe604d969509fb6de3397f4792c
phase11gr3_reference_repair	Phase11G-R3		audit	~/thesis/PDAC/05_results/tables/phase11gr3_reference_repair.tsv	derived_from_phase11f		67c2d833cb43490414bcef77df0fbd4c	2026-07-04	generated_Phase11G-R3	Phase11G-R3 file		Phase11G-R3	audit	05_results/tables/phase11gr3_reference_repair.tsv	Phase11G-R3 file	audit	tsv	67c2d833cb43490414bcef77df0fbd4c
19_validate_phase11g_reference_submission	Phase11G		script	~/thesis/PDAC/06_scripts/python/19_validate_phase11g_reference_submission.py	derived_from_phase11f		640c2935cbb8bfd8ae0d0d2025cfebac	2026-07-04	generated_Phase11G	Phase11G file		Phase11G	script	06_scripts/python/19_validate_phase11g_reference_submission.py	Phase11G file	script	py	640c2935cbb8bfd8ae0d0d2025cfebac
19_validate_phase11gr1_reference_callouts	Phase11G-R1		script	~/thesis/PDAC/06_scripts/python/19_validate_phase11gr1_reference_callouts.py	derived_from_phase11f		f7fdc1b9444384a14a876f81af60e499	2026-07-04	generated_Phase11G-R1	Phase11G-R1 file		Phase11G-R1	script	06_scripts/python/19_validate_phase11gr1_reference_callouts.py	Phase11G-R1 file	script	py	f7fdc1b9444384a14a876f81af60e499
19_validate_phase11gr2_reference_verification	Phase11G-R2		script	~/thesis/PDAC/06_scripts/python/19_validate_phase11gr2_reference_verification.py	derived_from_phase11f		de11552c22041e8455cac63d58840554	2026-07-04	generated_Phase11G-R2	Phase11G-R2 file		Phase11G-R2	script	06_scripts/python/19_validate_phase11gr2_reference_verification.py	Phase11G-R2 file	script	py	de11552c22041e8455cac63d58840554
19_validate_phase11gr3_reference_repair	Phase11G-R3		script	~/thesis/PDAC/06_scripts/python/19_validate_phase11gr3_reference_repair.py	derived_from_phase11f		2cde2cd897cd162e01a44b4dc5298fd9	2026-07-04	generated_Phase11G-R3	Phase11G-R3 file		Phase11G-R3	script	06_scripts/python/19_validate_phase11gr3_reference_repair.py	Phase11G-R3 file	script	py	2cde2cd897cd162e01a44b4dc5298fd9
gitignore	Post-Phase 11G		report_or_config	.gitignore		1217	05666e01af4b14a34a010b7b9127e480	2026-07-04	generated		05666e01af4b14a34a010b7b9127e480	1217	Post-Phase 11G		.gitignore		audit	txt/md	05666e01af4b14a34a010b7b9127e480
post_phase11g_audit	Post-Phase 11G		report_or_config	04_analysis/11_manuscript/POST_PHASE11G_WORKSPACE_CLEANUP_AUDIT.md		3158	08fd06bf2467372aa86b3ee7726fad39	2026-07-04	generated		08fd06bf2467372aa86b3ee7726fad39	3158	Post-Phase 11G		04_analysis/11_manuscript/POST_PHASE11G_WORKSPACE_CLEANUP_AUDIT.md		audit	txt/md	08fd06bf2467372aa86b3ee7726fad39
project_status	Phase 11G		report_or_config	00_admin/PROJECT_STATUS.md		56420	80491dcab1c98632ee42fd56df392ff1	2026-07-04	generated		80491dcab1c98632ee42fd56df392ff1	56420	Phase 11G		00_admin/PROJECT_STATUS.md		audit	txt/md	80491dcab1c98632ee42fd56df392ff1
skill_usage_log	Phase 11G		report_or_config	00_admin/SKILL_USAGE_LOG.tsv		69754	71fb7d346eae9b3c62ece1a701803657	2026-07-04	generated		71fb7d346eae9b3c62ece1a701803657	69754	Phase 11G		00_admin/SKILL_USAGE_LOG.tsv		audit	txt/md	71fb7d346eae9b3c62ece1a701803657
decision_log	Phase 11G		report_or_config	09_docs/planning/DECISION_LOG.md		114948	8c7aa4b5609afb7ceb2151b58751b401	2026-07-04	generated		8c7aa4b5609afb7ceb2151b58751b401	114948	Phase 11G		09_docs/planning/DECISION_LOG.md		audit	txt/md	8c7aa4b5609afb7ceb2151b58751b401
phase11h_submission_package_assembly	Phase11H		report	04_analysis/11_manuscript/PHASE11H_SUBMISSION_PACKAGE_ASSEMBLY.md		1256.0	20df92775acb05f949969fba1651bfff	verified_Phase11H										
phase11h_submission_package_inventory	Phase11H		inventory	05_results/tables/phase11h_submission_package_inventory.tsv		2786.0	21da169bb2dbc79abcc3b813691beff6	verified_Phase11H										
phase11h_missing_submission_items	Phase11H		audit	05_results/tables/phase11h_missing_submission_items.tsv		544.0	80b78d1351648d84c01503378033f121	verified_Phase11H										
validate_phase11h_submission_package	Phase11H		script	06_scripts/python/20_validate_phase11h_submission_package.py		2211.0	2e8a7cd557e62d3ce26c5709a57c771c	verified_Phase11H										
phase11h_manuscript_md	Phase11H		manuscript	08_submission/phase11h_submission_package/manuscript.md		19761.0	7845301908efbd33a44f77dd68e8b5b7	verified_Phase11H										
phase11h_references_bib	Phase11H		bibliography	08_submission/phase11h_submission_package/references.bib		6241.0	4b30b809dfb354df6058ef539d272403	verified_Phase11H										
phase11h_figure_legends	Phase11H		document	08_submission/phase11h_submission_package/figure_legends.txt		1452.0	0186cfb81715c69fee52c144c8cd90d6	verified_Phase11H										
phase11h_table_legends	Phase11H		document	08_submission/phase11h_submission_package/supplementary_table_legends.txt		773.0	cbd960b4c7369efb7cb81de14a89081b	verified_Phase11H										
phase11h_submission_checklist	Phase11H		document	08_submission/phase11h_submission_package/submission_checklist.txt		581.0	92ac86ab2ed19f541082113390f03733	verified_Phase11H										
phase11h_cover_letter	Phase11H		document	08_submission/phase11h_submission_package/cover_letter.txt		1399.0	fa2509948eaab773af94acd12b73e8ce	verified_Phase11H										
phase11h_figure_1	Phase11H		figure	08_submission/phase11h_submission_package/Figure_1.pdf		18948.0	7b83090c0f8564488f9327319a34e38f	verified_Phase11H										
phase11h_figure_2	Phase11H		figure	08_submission/phase11h_submission_package/Figure_2.pdf		7086.0	7d967f1b74b0c21b8f389e606f616fce	verified_Phase11H										
phase11h_figure_3	Phase11H		figure	08_submission/phase11h_submission_package/Figure_3.pdf		4927.0	4db31425517947d2b76dfe7fa1e5497d	verified_Phase11H										
phase11h_figure_4	Phase11H		figure	08_submission/phase11h_submission_package/Figure_4.pdf		7679.0	65af302e47ce4fe6090e532784db56ee	verified_Phase11H										
phase11h_figure_5	Phase11H		figure	08_submission/phase11h_submission_package/Figure_5.pdf		12926.0	57294c1813025af3f576c1fe18980ce4	verified_Phase11H										
phase11h_table_s1	Phase11H		table	08_submission/phase11h_submission_package/Table_S1.tsv		6548.0	974c046ec2786092729f21e02ce5ee58	verified_Phase11H										
phase11h_table_s2	Phase11H		table	08_submission/phase11h_submission_package/Table_S2.tsv		6305.0	17e6d258e49d3911f0a452c92161b5cb	verified_Phase11H										
