microbiome_matrix_sample	patient_id	tumor_number	microbiome_biosample_id	microbiome_run_id	mapping_status	notes
Basal-like17	PDAC_060	60	SAMN18623952	SRR14148529	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16341T.
Hybrid1	PDAC_004	4	SAMN18623896	SRR14148561	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16036T.
Hybrid2	PDAC_022	22	SAMN18623914	SRR14148570	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16155T.
Hybrid3	PDAC_014	14	SAMN18623906	SRR14148579	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16130T.
Hybrid4	PDAC_061	61	SAMN18623953	SRR14148527	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16343T.
Hybrid5	PDAC_030	30	SAMN18623922	SRR14148562	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16180T.
Hybrid6	PDAC_035	35	SAMN18623927	SRR14148556	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16203T.
Hybrid7	PDAC_024	24	SAMN18623916	SRR14148568	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16159T.
Hybrid8	PDAC_033	33	SAMN18623925	SRR14148558	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16194T.
Hybrid9	PDAC_026	26	SAMN18623918	SRR14148566	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16161T.
Hybrid10	PDAC_036	36	SAMN18623928	SRR14148555	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16207T.
Hybrid11	PDAC_003	3	SAMN18623895	SRR14148572	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX15271T.
Hybrid12	PDAC_016	16	SAMN18623908	SRR14148577	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16135T.
Hybrid13	PDAC_037	37	SAMN18623929	SRR14148554	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16218T.
Hybrid14	PDAC_039	39	SAMN18623931	SRR14148552	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16224T.
Hybrid15	PDAC_018	18	SAMN18623910	SRR14148575	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16141T.
Hybrid16	PDAC_009	9	SAMN18623901	SRR14148524	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16113T.
Hybrid17	PDAC_046	46	SAMN18623938	SRR14148544	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX15211T.
Hybrid18	PDAC_052	52	SAMN18623944	SRR14148537	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16075T.
Hybrid19	PDAC_019	19	SAMN18623911	SRR14148574	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16144T.
Hybrid20	PDAC_023	23	SAMN18623915	SRR14148569	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16158T.
Hybrid21	PDAC_032	32	SAMN18623924	SRR14148559	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16188T.
Hybrid22	PDAC_015	15	SAMN18623907	SRR14148578	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16132T.
Hybrid23	PDAC_048	48	SAMN18623940	SRR14148542	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16009T.
Classical1	PDAC_010	10	SAMN18623902	SRR14148523	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16119T.
Classical2	PDAC_005	5	SAMN18623897	SRR14148550	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16041T.
Classical3	PDAC_040	40	SAMN18623932	SRR14148551	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16227T.
Classical4	PDAC_008	8	SAMN18623900	SRR14148525	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16112T.
Classical5	PDAC_021	21	SAMN18623913	SRR14148571	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16153T.
Classical6	PDAC_038	38	SAMN18623930	SRR14148553	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16222T.
Classical7	PDAC_028	28	SAMN18623920	SRR14148564	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16177T.
Classical8	PDAC_059	59	SAMN18623951	SRR14148530	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16335T.
Classical9	PDAC_012	12	SAMN18623904	SRR14148581	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16127T.
Classical10	PDAC_011	11	SAMN18623903	SRR14148582	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16120T.
Classical11	PDAC_027	27	SAMN18623919	SRR14148565	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16166T.
Classical12	PDAC_002	2	SAMN18623894	SRR14148583	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX15263T.
Classical13	PDAC_007	7	SAMN18623899	SRR14148528	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16062T.
Classical14	PDAC_001	1	SAMN18623893	SRR14148584	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX15261T.
Classical15	PDAC_029	29	SAMN18623921	SRR14148563	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16178T.
Classical16	PDAC_041	41	SAMN18623933	SRR14148549	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16236T.
Classical17	PDAC_017	17	SAMN18623909	SRR14148576	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16139T.
Classical18	PDAC_031	31	SAMN18623923	SRR14148560	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16185T.
Classical19	PDAC_062	62	SAMN18623954	SRR14148526	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16347T.
Classical20	PDAC_006	6	SAMN18623898	SRR14148539	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16057T.
Classical21	PDAC_013	13	SAMN18623905	SRR14148580	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16128T.
Classical22	PDAC_020	20	SAMN18623912	SRR14148573	VERIFIED	Matrix column from Supplementary Data 1 Genus-level; mapped via Supplementary Data 4 Figure1.SampleGroup order to submitted sample YX16147T.
