analysis_id	host_outcome	microbiome_input	feature_set	transformation	model	covariates	robust_SE	permutations	bootstrap_iterations	multiple_testing_family	contaminant_policy	sample_policy	analysis_role	random_seed	status	notes
ASSOC_GENUS_SUPPORT_SPEARMAN	Moffitt50_basal_classical_contrast	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	Spearman_correlation	none	none	none	2000	122_genus_tests_Moffitt50	keep_all_flagged	retain_all	supporting	2026	locked	Non-parametric correlation: Spearman rank correlation between CLR and standardized host score with bootstrap CI.
ASSOC_GENUS_SUPPORT_PERM	Moffitt50_basal_classical_contrast	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	permutation_association_test	none	none	9999	none	122_genus_tests_Moffitt50	keep_all_flagged	retain_all	supporting	2026	locked	Permutation test shuffling Moffitt50 host scores to compute empirical P-values for genus association.
ASSOC_GENUS_SUPPORT_MAASLIN2	Moffitt50_basal_classical_contrast	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	none	MaAsLin2_regression	none	none	none	none	122_genus_tests_Moffitt50	keep_all_flagged	retain_all	supporting	2026	locked	Supporting multivariable regression via MaAsLin2 package on CLR values, with normalization=NONE and transform=NONE.
ASSOC_GENUS_SENS_PREV_10	Moffitt50_basal_classical_contrast	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_10_centered_log_ratio.tsv.gz	149_genera	centered_log_ratio	OLS_regression	none	HC3	none	2000	149_genus_tests_Moffitt50	keep_all_flagged	retain_all	sensitivity	2026	locked	Preprocessing sensitivity checking OLS model on the 10% prevalence filtered matrix.
ASSOC_GENUS_SENS_PREV_30	Moffitt50_basal_classical_contrast	03_processed/microbiome/sensitivity/MICRO_SENS_PREV_30_centered_log_ratio.tsv.gz	99_genera	centered_log_ratio	OLS_regression	none	HC3	none	2000	99_genus_tests_Moffitt50	keep_all_flagged	retain_all	sensitivity	2026	locked	Preprocessing sensitivity checking OLS model on the 30% prevalence filtered matrix.
ASSOC_GENUS_SENS_DET_10	Moffitt50_basal_classical_contrast	03_processed/microbiome/sensitivity/MICRO_SENS_DET_10_P20_centered_log_ratio.tsv.gz	106_genera	centered_log_ratio	OLS_regression	none	HC3	none	2000	106_genus_tests_Moffitt50	keep_all_flagged	retain_all	sensitivity	2026	locked	Preprocessing sensitivity checking OLS model on the abundance > 10, prevalence >= 20% filtered matrix.
ASSOC_GENUS_SENS_PSEUDO_1.0	Moffitt50_basal_classical_contrast	03_processed/microbiome/sensitivity/MICRO_SENS_PSEUDO_1.0_centered_log_ratio.tsv.gz	122_genera	centered_log_ratio	OLS_regression	none	HC3	none	2000	122_genus_tests_Moffitt50	keep_all_flagged	retain_all	sensitivity	2026	locked	Preprocessing sensitivity checking OLS model on the matrix transformed using a pseudocount of 1.0.
ASSOC_GENUS_SENS_PSEUDO_0.1	Moffitt50_basal_classical_contrast	03_processed/microbiome/sensitivity/MICRO_SENS_PSEUDO_0.1_centered_log_ratio.tsv.gz	122_genera	centered_log_ratio	OLS_regression	none	HC3	none	2000	122_genus_tests_Moffitt50	keep_all_flagged	retain_all	sensitivity	2026	locked	Preprocessing sensitivity checking OLS model on the matrix transformed using a pseudocount of 0.1.
ASSOC_GENUS_SENS_ROBUST_CLR	Moffitt50_basal_classical_contrast	03_processed/microbiome/sensitivity/MICRO_SENS_ROBUST_CLR_robust_clr.tsv.gz	122_genera	robust_clr	OLS_regression	none	HC3	none	2000	122_genus_tests_Moffitt50	keep_all_flagged	retain_all	sensitivity	2026	locked	Preprocessing sensitivity checking OLS model on robust CLR values (no pseudocount).
ASSOC_GENUS_SENS_NO_HIGH_RISK	Moffitt50_basal_classical_contrast	03_processed/microbiome/sensitivity/MICRO_SENS_NO_HIGH_RISK_centered_log_ratio.tsv.gz	no_high_risk_taxa	centered_log_ratio	OLS_regression	none	HC3	none	2000	no_high_risk_genus_tests	exclude_high_risk	retain_all	sensitivity	2026	locked	Contamination sensitivity OLS model excluding high-risk potential contaminant genera.
ASSOC_GENUS_SENS_NO_CONTAMINANTS	Moffitt50_basal_classical_contrast	03_processed/microbiome/sensitivity/MICRO_SENS_NO_CONTAMINANTS_centered_log_ratio.tsv.gz	no_high_moderate_risk_taxa	centered_log_ratio	OLS_regression	none	HC3	none	2000	no_contaminants_genus_tests	exclude_high_and_moderate_risk	retain_all	sensitivity	2026	locked	Contamination sensitivity OLS model excluding high-risk and moderate-risk contaminant genera.
ASSOC_GENUS_SENS_EXCLUDE_EXTREME	Moffitt50_basal_classical_contrast	03_processed/microbiome/sensitivity/MICRO_SENS_EXCLUDE_EXTREME_centered_log_ratio.tsv.gz	122_genera	centered_log_ratio	OLS_regression	none	HC3	none	2000	122_genus_tests_Moffitt50	keep_all_flagged	exclude_extreme	sensitivity	2026	locked	Outlier sensitivity OLS model excluding extreme samples Basal-like1, Hybrid18, Hybrid23.
ASSOC_GENUS_SENS_PA	Moffitt50_basal_classical_contrast	03_processed/microbiome/sensitivity/MICRO_SENS_PRESENCE_ABSENCE_presence_absence.tsv.gz	sufficiently_prevalent_genera	presence_absence	logistic_regression	none	none	none	none	prevalent_genus_tests_Moffitt50	keep_all_flagged	retain_all	sensitivity	2026	locked	Presence/absence sensitivity using logistic regression: genus_presence ~ standardized_Moffitt50_contrast.
ASSOC_GENUS_DESCRIPTIVE_SUBTYPES	public_Basal_Hybrid_Classical_labels	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	Kruskal_Wallis	none	none	none	none	122_genus_tests_subtypes	keep_all_flagged	retain_all	descriptive	2026	locked	Descriptive non-parametric comparison of genus abundances across public labels with post-hoc pairwise tests.
ASSOC_GENUS_SEC_COACTIVATION	basal_classical_coactivation_score	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	OLS_regression	none	HC3	none	2000	122_genus_tests_coactivation	keep_all_flagged	retain_all	secondary	2026	locked	Secondary outcome analysis: OLS association with coactivation score.
ASSOC_GENUS_SEC_PURIST	PurIST_basal_probability	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	OLS_regression	none	HC3	none	2000	122_genus_tests_PurIST	keep_all_flagged	retain_all	secondary	2026	locked	Secondary sensitivity analysis: OLS association with PurIST basal probability.
ASSOC_GENUS_SEC_MOFFITT49	Moffitt49_no_LEMD1_contrast	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	OLS_regression	none	HC3	none	2000	122_genus_tests_Moffitt49	keep_all_flagged	retain_all	secondary	2026	locked	Secondary sensitivity analysis: OLS association with Moffitt49 no-LEMD1 contrast.
ASSOC_GENUS_SEC_SINGSCORE	singscore_basal_classical_contrast	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	OLS_regression	none	HC3	none	2000	122_genus_tests_singscore	keep_all_flagged	retain_all	secondary	2026	locked	Secondary sensitivity analysis: OLS association with singscore basal-classical contrast.
ASSOC_GENUS_SEC_ENTROPY	Phase_4B_assignment_entropy	03_processed/microbiome/PRJNA719915_genus_primary_CLR.tsv.gz	122_genera	centered_log_ratio	OLS_regression	none	HC3	none	2000	122_genus_tests_entropy	keep_all_flagged	retain_all	secondary	2026	locked	Secondary sensitivity analysis: OLS association with Phase 4B assignment entropy.
